id,system,user,intent
241,There are 6 buses. A bus leaves at 8 am. The Flexible ticket costs $45,"I want to leave from Washington, I need 4 seats","Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'group_size': '4', 'origin': 'Washington'}"
242,Do you want to go ahead and purchase tickets?,"Yeah, but not right now. What are some attractions around there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': '[CLS]'}"
243,"There are 3 cars which you might like. One of the cars is a Cruze one, which can be picked up at SFO International Airport on March 10th, and it is a Standard car.","Can you recommend some other car? I am interested in renting a small car, and I will pick it up from Philly.","Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'type': 'Compact', 'pickup_city': 'Philly'}"
244,,Will you find movies in San Ramon at THE LOT City Center?,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'location': 'San Ramon', 'theater_name': 'THE LOT City Center'}"
245,Absolutely. How many days is the reservation for?,I would like to reserve a room for 1 day.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '1'}"
246,Where are you planning on leaving from?,Leaving from Los ANgeles.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'origin': 'Los ANgeles'}"
247,Anything else I can help with?,No. Thanks for helping.,"Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}"
248,Your ticket has been confirmed.,Thank you for helping. I would like to find a hotel there.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
249,Do you have a time preference?,I prefer quarter to 1 in the afternoon.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': 'quarter to 1 in the afternoon'}"
250,"Kindly Ensure that, 4 tickets have been booked for the event at New York.",Yes. It is good for me. What is the starting time of the event and where is the location of the venue?,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time, venue_address
Slot values: {}"
251,When would you like to book your appointment?,Book it on the 10th of March around 12:30 in the afternoon.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '10th of March', 'appointment_time': '12 : 30 in the afternoon'}"
252,And your check in date?,Wednesday next week.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'Wednesday next week'}"
253,Your booking is complete.,What is their location and do they have live bands?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music, street_address
Slot values: {}"
254,"What is the departure city and the arrival city, and for what date?","I will be going to Seattle, WA and I want to leave next Wednesday.","Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'departure_date': 'next Wednesday', 'destination_city': 'Seattle , WA'}"
255,There are 10 hotels that match. Ac Hotel By Marriott Beverly Hills is a nice 1 star hotel.,"Nice, that'll work. Now let's book some tickets for the game we talked about.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'city': '[CLS]', 'date': '[CLS]', 'event_name': '[CLS]'}"
256,Sure. You want the car on March 6th? And what specific time?,At six in the evening on the 8th of this month.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_date': '8th of this month', 'pickup_time': 'six in the evening'}"
257,Do you need anything else?,"No, thank you.","Service name: Flights_2
Active intent: 
Requested slots: 
Slot values: {}"
258,,"Hello, could you help me search for a doctor?","Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {}"
259,Would you like me to make a reservation for you?,"Yes, please.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}"
260,Anything else you wish to know about?,"Nope, thanks.","Service name: Hotels_3
Active intent: 
Requested slots: 
Slot values: {}"
261,There are no other fight movies playing. Anything else I can help with?,Search for comedy movies.,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'comedy'}"
262,The reservation has been made. It is $210.,Thank you. I want to find some attractions.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
263,When are you leaving?,I'd like to leave on the 4th of this month.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '4th of this month'}"
264,I found 1 showtime at 7 pm in Landmark's California Theatre.,Perfect. Will you add Movie show at Shattuck Avenue at 7 pm to my calendar?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '7 pm'}"
265,"To confirm: You'd like 2 tickets to The Drums on March 13th in Phoenix, correct?","Yes, that is correct. What's the address of the venue, and what time does the show start?","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time, venue_address
Slot values: {}"
266,Where are you leaving from? Do you have a goal city?,"Sure, I'm leaving from Portland, OR and going to Seattle, WA.","Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Seattle , WA', 'origin_city': 'Portland , OR'}"
267,It is a Fantasy movie.,Sounds good. Can you find me a cab to get there for a group of four people?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '[CLS]'}"
268,I found a bus that leaves at 7:30 am. It costs $67 for an economy ticket. Is that okay?,Can you find a bus that leaves on the 1st of this month instead? I'm fine with any type of ticket.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'dontcare', 'departure_date': '1st of this month'}"
269,What about Bay Area Retina Associates in Oakland for an ophthalmologist?,"Yes, that will work.","Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Bay Area Retina Associates'}"
270,"If you like Southwest Airlines, there is a flight leaving 2:35 pm and returning at 12:05 pm for $265.",Can you tell me the airport of origin and the destination?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: destination_airport, origin_airport
Slot values: {}"
271,"No, they are moderate priced.","I see, could you help me play Sex Metal Barbie in the album In This Moment on the speaker in the kitchen please?","Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {'playback_device': 'Kitchen speaker', 'artist': 'In This Moment', 'song_name': 'Sex Metal Barbie'}"
272,"Just to confirm, you want me to play Written In Sand out of the bedroom speaker. Is this correct?",Yeah. Sounds good to me.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {}"
273,Where is your destination?,I want to go to Chicago with three people.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '3', 'destination_city': 'Chicago'}"
274,"How about a Delta Airlines flight leaving at 9:15 am, with 1 stop. It costs $344.",Are there any other flights?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
275,"There is a nice house located at 1 Washington Circle Northwest, Washington, District of Columbia 20037, United States. It has a rating of 4.3.",That house is a great choice.,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}"
276,"What do you consider to be fun? Music, sports or maybe something else?",I am interested in attending a concert.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_type': 'Music'}"
277,Is there anything else?,"No, you have been very kind.","Service name: Restaurants_1
Active intent: 
Requested slots: 
Slot values: {}"
278,What is the time that works for you?,Is there an appointment available at 11 am?,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '11 am'}"
279,Can you give me the name of the movie you want to watch and your location?,I would like to see The Curse of La Llorona in Newark please.,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'location': 'Newark', 'movie_name': 'The Curse of La Llorona'}"
280,Could I further assist you then?,Could you help me search for a bus traveling there too?,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'to_location': '[CLS]'}"
281,And how long do you need it till?,Only till the 13th of March.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': '13th of March'}"
282,"There are 3 Dermatologist in Milpitas. For example Dr. Hoang M. Duong, MD","Yes, it's ok for me","Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Dr . Hoang M . Duong , MD'}"
283,"Sure, you can contact them at 602-716-2000.","Sure, that is all I need for now, thank you!","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
284,,I want to check my calendar for events for Friday next week.,"Service name: Calendar_1
Active intent: GetEvents
Requested slots: 
Slot values: {'event_date': 'Friday next week'}"
285,I found Sick Love by Red Hot Chili Peppers from the album The Getaway.,Can you find some songs from Rihanna from the album Unapologetic?,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'album': 'Unapologetic', 'artist': 'Rihanna'}"
286,"Okay, so I am getting 2 tickets to the event tomorrow. Is that right?","Yes, that's fine. What time does it start?","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time
Slot values: {}"
287,What date would you like to begin travel and are you returning on MArch 13th?,"I would like to leave on the 1st of this month and return on the 14th of this month,","Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'departure_date': '1st of this month', 'return_date': '14th of this month'}"
288,,"Hi, I'd like to book a hotel reservation for next Wednesday at Doubletree by Hilton Hotel San Diego - Del Mar.","Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'next Wednesday', 'hotel_name': 'Doubletree by Hilton Hotel San Diego - Del Mar'}"
289,check in march 3rd and check out march 4th,yes that is good,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
290,Absolutely! Where are you going?,I'm going to NYC.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'to_location': 'NYC'}"
291,Where are you looking and how many bedrooms?,Look for a 1 bedroom in San Leandro.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '1', 'area': 'San Leandro'}"
292,There's 1 flight that suits your preference. It's a Delta Airlines flight with an outbound flight that departs at 4:40 pm and a return flight that leaves at 7:40 pm. It is $63 per ticket.,And what airport is the arrival at?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: destination_airport
Slot values: {}"
293,"These three would be playing - Breakthrough, Dr. Strangelove and Fighting with My Family.",I've been wanting to see Dr. Strangelove - perfect. Bye for now.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'movie_name': 'Dr . Strangelove'}"
294,How many days will you stay there?,I will be staying for four days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': 'four'}"
295,You'd like to reserve 1 room at Palihotel Melrose in Los Angeles on for a stay beginning on March 11th and leaving on March 14th. Is that correct?,"Yes, that's correct. Can you tell me the contact number and where it is located?","Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: phone_number, street_address
Slot values: {}"
296,,Will you find round trip flights?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {}"
297,"Dumbo, Hellboy or The Poseidon Adventure?",Any other movies?,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}"
298,,I am interested in finding a salon.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}"
299,How about another one bus which leaves at 8:30 am for the flexible ticket cost $41?,From which station this bus will leave?,"Service name: Buses_2
Active intent: FindBus
Requested slots: origin_station_name
Slot values: {}"
300,I have found one show of the movie at 1 pm in Edwards Fairfield 16 & IMAX.,Seems nice. Can you try to book a table at the restaurant I liked before? I need the reservation for one person.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '1', 'date': '[CLS]'}"
301,"Want want to cast the song Alone With You on TV, right?",That is right. What genre is it and what year was it released?,"Service name: Music_1
Active intent: PlaySong
Requested slots: genre, year
Slot values: {'playback_device': 'TV'}"
302,Would you like me to make a reservation?,Not right now but can you check a bus leaving from Long Beach and going there?,"Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}"
303,"Very well, I need to get 4 seats for the Falcons Vs Rams on March 11th in Atlanta, correct?","You got it, go for it.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
304,From o'hare international airport.,I am not sure if I want to go so I need to know if the ticket is refundable?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: refundable
Slot values: {}"
305,"Confirming hairdresser appointment on March 14th, 1:30 pm, at 1047 Lincoln Highway suite 101.","Okay, thanks a lot.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}"
306,Appointment at 4:15 pm at the hair stylist Oz A Salon Inc.,That's okay now.,"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {}"
307,"I searched and found 10 nice apartments. Americana Apartments is a nice property at 4445 Stevenson Boulevard with 2 bed rooms and 2 baths. The rent for the apartment is $2,800 per month.",Yes. it is good.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'property_name': 'Americana Apartments'}"
308,it is 4.8,what is the address?,"Service name: Services_1
Active intent: FindProvider
Requested slots: phone_number, street_address
Slot values: {}"
309,2g Japanese Brasserie is a nice San Francisco restaurant.,Sounds great. What times are available for the movie tomorrow at AMC Metreon?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'restaurant_name': '2g Japanese Brasserie'}"
310,Your ticket has been confirmed. You will arrive at Intercity Terminal.,Appreciate your efforts in securing me a bus ticket.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
311,,I'm increasingly seeing double at times and itching a lot. Do you have the name of a doctor I can go see?,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}"
312,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
313,Which city would you like me to search in?,I want to do something in New York City.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'city': 'New York City'}"
314,"There are 8 available economy extra buses, would you like one which departs at 7:10 am which costs $38?","That is fine with me, could you also help me search for one room at a hotel in that area with wifi services?","Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'has_wifi': 'True', 'number_of_rooms': '1', 'destination': '[CLS]'}"
315,Is there anything else I can help with?,"No, Thank you.","Service name: Services_1
Active intent: 
Requested slots: 
Slot values: {}"
316,"Confirm, in Walnut Creek, China Palace Restaurant at 12:45 pm for 3 on March 14th.",That is good. What is price range and contact?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: phone_number, price_range
Slot values: {}"
317,Which day do you want me to check?,Please look on March 14th.,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': 'March 14th'}"
318,i found 3 restaurant in livermore. what about campo di bocce of livermore,what else can you find,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {}"
319,The first result that I have found is a Gynecologist by the name of Kochenburger Richard J MD located in Alameda. Would you like me to contact them?,What else can you find?,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}"
320,Event Doctor appointment added on March 2nd at 1580 Valencia Street #508 at 12 pm.,"Yes, that is perfect.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}"
321,How many do you need?,Just 1 ticket,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_tickets': '1'}"
322,Your booking is done. The venue is the Teragram Ballroom and starts at 6:30 pm,"Ok, thaks. Now get me economy tickets from san Fran on Tuesday next week","Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '1', 'seating_class': 'Economy', 'departure_date': 'Tuesday next week', 'destination': '[CLS]', 'origin': 'san Fran'}"
323,Please confirm that you want to book a table at Platano in Berkeley at 12:15 pm for 2 people on March 1st.,Yes that works. Is there live music?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music
Slot values: {'party_size': '2', 'date': 'March 1st'}"
324,I was able to contact a transportation company and your cab is on the way.,"I would like to get something to eat as well, preferably some kind of costly, Asian food.","Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}"
325,What time do you want it and what kind of car?,I want a spacious car for pickup around afternoon 12:30 pm,"Service name: RentalCars_2
Active intent: ReserveCar
Requested slots: 
Slot values: {'car_type': 'Full-size', 'pickup_time': 'afternoon 12 : 30'}"
326,"Yes, let me know your current location to search accordingly.",Search it in Vallejo.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'location': 'Vallejo'}"
327,Your seats are booked.,Where does that get in? Where's it leave from?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: destination_station_name, origin_station_name
Slot values: {}"
328,,Will you reserve tickets to Matt Corby around San Francisco on 13th of this month?,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'city_of_event': 'San Francisco', 'date': '13th of this month', 'event_name': 'Matt Corby'}"
329,Please confirm: Getting a cab for 1 person to go to Murray Circle Restaurant.,That is correct. What is the price?,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: ride_fare
Slot values: {}"
330,I found 1 at Union Station that you may pick up on March 13th. It is a standard Ford Fusion.,I am not really into Ford cars. Can you find me another one that I may pick up at 11 am?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_time': '11 am'}"
331,There are 10 options for you. One is Blueface at The Fillmore Philadelphia.,Sounds just right that's all man.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': 'Blueface'}"
332,1512 Barber Shop in San Francisco will be nice.,"Get me the contact number and rating details, please.","Service name: Services_1
Active intent: FindProvider
Requested slots: average_rating, phone_number
Slot values: {}"
333,"Kindly ensure that, on March 11th, 2 tickets have been booked ofr Starset at Los Angeles.",Yes. it is good for me.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
334,,I'm looking for Hellboy show times. Can you search in Santa Rosa?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'location': 'Santa Rosa', 'movie_name': 'Hellboy'}"
335,The address is 1 Blue Jays Way.,"That sounds good, I want to find dates for events.","Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'event_name': '[CLS]'}"
336,"Ace Hotel Chicago, with rating 4.6",Do you have other proposals?,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {}"
337,100 Greenwich Street seems pretty good and it is rated at 3.9.,That's the house I want and now I need a bus to get there.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'destination': '[CLS]'}"
338,"Unfortunately, that bus is full as well! How about a bus that leaves at 8:30 am with tickets that cost $24 each? And to answer your questions, the bus leaves the Intercity Terminal and reaches Port Authority Station.","Yeah, that bus would be great!","Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'departure_time': '8 : 30 am'}"
339,"Please give me your confirmation to book an appointment with doctor Gul A. Zikria, M.D., FACOG, on March 1st at 2 pm.","That is correct, please go ahead.","Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {}"
340,"You could visit Alcatraz, it is a Historical Landmark",How can I contact them?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: phone_number
Slot values: {}"
341,201 Van Ness Avenue at 6 pm.,Thanks. Will you find a restaurant there?,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
342,There is a $91 American Airlines flight leaving at 4:40 pm that also has 0 stops. What about that one?,That one sounds good. Go ahead and book a one-way ticket.,"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'outbound_departure_time': '4 : 40 pm'}"
343,Are you ready to buy tickets?,Not yet. Am I available that day?,"Service name: Events_2
Active intent: 
Requested slots: 
Slot values: {}"
344,I have located 10 hotels. What do you think of Aloft Philadelphia Airport? It has a rating of 4.0.,What is the phone number of the venue and what is its address?,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: phone_number, street_address
Slot values: {}"
345,"Your booking is done, Its unisex",Please book a table at the earlier restaurant,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'price_range': 'moderate', 'serves_alcohol': 'True', 'city': '[CLS]', 'cuisine': '[CLS]', 'date': '[CLS]', 'restaurant_name': '[CLS]'}"
346,Let's go over the details quickly. You want to book a table for 2 at 1 pm at Bottega Napa Valley in Yountville? This will be on March 14th.,"I agree with all that, yes. How are the prices there? Are they above average? Also, do they serve liquor?","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: price_range, serves_alcohol
Slot values: {'party_size': '2'}"
347,"Sorry, your appointment could not be made. How could I further assist you?","Yes please, could you try to book an appointment on the 2nd of March at quarter past 2 in the afternoon instead?","Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '2nd of March', 'appointment_time': 'quarter past 2 in the afternoon'}"
348,Please confirm the following details: Play Family with subtitles.,"Yes, please.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}"
349,,I would like a one way from to NY please.,"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'NY'}"
350,Where would you like to leave from?,I want to leave from New York.,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin': 'New York'}"
351,Would you like me to book an appointment?,"Yes I want visit the salon on the 7th of March for 11 o""clock in the morning.","Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '7th of March', 'appointment_time': '11 o "" clock in the morning'}"
352,alaska airlines leaves 12 pm for 1 stop and $302,is it refundable?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: refundable
Slot values: {}"
353,In what city would you like to dine?,I want Oriental food in Berkeley.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': 'Berkeley', 'cuisine': 'Oriental'}"
354,In what city?,A unisex salon in SF would be perfect.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {'is_unisex': 'True', 'city': 'SF'}"
355,I can also suggest Darith Khay Inc. He is a General Practitioner in San Jose.,Okay. Can you tell me the weather conditions there on the March 13th?,"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {'city': '[CLS]', 'date': 'March 13th'}"
356,Bamboo Restaurant is good in San Francisco.,Do they have live entertainment and could you get me their number?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: has_live_music, phone_number
Slot values: {}"
357,Thanks. When are you planning to travel.,I am planning to leave Next monday.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': 'Next monday'}"
358,Do you have any preference of city i should search in?,I like to search around San Francisco.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'city_of_event': 'San Francisco'}"
359,Great! I found 7 buses you might like. I recommend the bus that leaves at 7:40 am. The price of an economy ticket is $65.,"Actually, is there a bus headed to Anaheim instead? We think we want to go to some theme parks. There are three of us.","Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'group_size': '3', 'destination': 'Anaheim'}"
360,"Ok, I found 10 of them in San Jose. There is a nice one called Atelier Salon Willow Glen. Would that one interest you?",Can you tell me where it is and the contact number please.,"Service name: Services_1
Active intent: FindProvider
Requested slots: phone_number, street_address
Slot values: {}"
361,"Their phone number is +1 858-597-0500, and there is laundry service.",This house seems great.,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}"
362,"On March 8th at 7:30 pm, the Whitecaps Vs Colorado Rapids will be held at BC Place.",Okay that's interesting. What else can you tell me about this event?,"Service name: Events_1
Active intent: FindEvents
Requested slots: subcategory
Slot values: {}"
363,Your appointment is confirmed. The average rating for that salon is 4.0. Their street address is 208 Redwood Avenue.,Thank you very much. I also want to find a restaurant nearby.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]'}"
364,The balance in savings is $8872.35,"Good, get me 3 tickets for the game you found for me.","Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'category': 'Sports', 'number_of_seats': '3', 'city_of_event': '[CLS]', 'date': '[CLS]', 'event_name': '[CLS]'}"
365,Can you confirm the following details: You'd like a Luxury ride for 1 to 3425 South Bascom Avenue #235. Is this correct?,It is correct. What is the total for the cab going to be and how long until it gets here?,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: ride_fare, wait_time
Slot values: {}"
366,Do you need further assistance?,I'm done for now.,"Service name: Hotels_3
Active intent: 
Requested slots: 
Slot values: {}"
367,"I have 1 restaurant, Imperial Garden restaurant in san leandro",Whats their contact number?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: phone_number
Slot values: {}"
368,Please confirm these details: the flight is from Atlanta whichgoes to New York and the airline is Southwest airlines. The departure date is next Tuesday. The seating is economy class for 1,Yes that's great,"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {}"
369,Do you want to make a transfer?,No thanks.,"Service name: Banks_1
Active intent: 
Requested slots: 
Slot values: {}"
370,So can you give me a time and date for when you'll pick it up?,I'll collect it at 2 pm on March 8th.,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_date': 'March 8th', 'pickup_time': '2 pm'}"
371,At 4580 Dublin Boulevard.,Do bands play there?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: has_live_music
Slot values: {}"
372,"Their address is 2664 Berryessa Road # 206, but they don't have cosmetic services.",I'd like to go there.,"Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {'dentist_name': '[CLS]'}"
373,There are 5 possibilities. How about Aquarium of the Pacific. It's a Nature Preserve?,"got it, thanks.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
374,There are 10 cars that you might prefer. There's a Standard Chevrolet Cruze that is available at 30th Street Station for pickup on March 3rd.,How much will that be?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}"
375,,Can you help me find some good attractions?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
376,Ticket is confirmed,Thanks. Show me attractions there.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': '[CLS]'}"
377,May I suggest 30 St Mary Axe (The Gherkin)? It is a famous Historical Landmark.,Great. Can you help me reserve 3 rooms nearby?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
378,Okay. start playing movie.,Thank you for the help.,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}"
379,You are free from 8 am until 5 pm on March 9th.,Fine. Will you make a dental appointment for that day?,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {}"
380,,Can you find me a bus?,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {}"
381,this is from 2018,thank you,"Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {}"
382,"I see that there are 5 attractions which you might like. You can visit Aquarium of the Pacific, which is a Nature Preserve.","Good, what about the other attractions that are there? More specifically some attraction which is child-friendly.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'good_for_kids': 'True'}"
383,I have made your reservation.,"Thanks, that should be everything.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
384,"Your reservation has been made. The total will be $1,040.","Thanks, that's all for now.","Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
385,Could you help me with anything else?,"I""m interested in finding dates for events.","Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {}"
386,Anything else?,That's all.,"Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}"
387,So does this look right? Visit to Alborada Apartments and you want to go next friday.,Are pets allowed and does it come furnished?,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: furnished, pets_allowed
Slot values: {}"
