output,input,instruction
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music, street_address
Slot values: {}","system: Your booking is complete.
user: What is their location and do they have live bands?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'departure_date': 'next Wednesday', 'destination_city': 'Seattle , WA'}","system: What is the departure city and the arrival city, and for what date?
user: I will be going to Seattle, WA and I want to leave next Wednesday.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'city': '[CLS]', 'date': '[CLS]', 'event_name': '[CLS]'}","system: There are 10 hotels that match. Ac Hotel By Marriott Beverly Hills is a nice 1 star hotel.
user: Nice, that'll work. Now let's book some tickets for the game we talked about.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_date': '8th of this month', 'pickup_time': 'six in the evening'}","system: Sure. You want the car on March 6th? And what specific time?
user: At six in the evening on the 8th of this month.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: 
Requested slots: 
Slot values: {}","system: Do you need anything else?
user: No, thank you.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {}","system: 
user: Hello, could you help me search for a doctor?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}","system: Would you like me to make a reservation for you?
user: Yes, please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: 
Requested slots: 
Slot values: {}","system: Anything else you wish to know about?
user: Nope, thanks.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'comedy'}","system: There are no other fight movies playing. Anything else I can help with?
user: Search for comedy movies.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}","system: The reservation has been made. It is $210.
user: Thank you. I want to find some attractions.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '4th of this month'}","system: When are you leaving?
user: I'd like to leave on the 4th of this month.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '7 pm'}","system: I found 1 showtime at 7 pm in Landmark's California Theatre.
user: Perfect. Will you add Movie show at Shattuck Avenue at 7 pm to my calendar?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time, venue_address
Slot values: {}","system: To confirm: You'd like 2 tickets to The Drums on March 13th in Phoenix, correct?
user: Yes, that is correct. What's the address of the venue, and what time does the show start?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Seattle , WA', 'origin_city': 'Portland , OR'}","system: Where are you leaving from? Do you have a goal city?
user: Sure, I'm leaving from Portland, OR and going to Seattle, WA.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '[CLS]'}","system: It is a Fantasy movie.
user: Sounds good. Can you find me a cab to get there for a group of four people?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'dontcare', 'departure_date': '1st of this month'}","system: I found a bus that leaves at 7:30 am. It costs $67 for an economy ticket. Is that okay?
user: Can you find a bus that leaves on the 1st of this month instead? I'm fine with any type of ticket.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Bay Area Retina Associates'}","system: What about Bay Area Retina Associates in Oakland for an ophthalmologist?
user: Yes, that will work.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: destination_airport, origin_airport
Slot values: {}","system: If you like Southwest Airlines, there is a flight leaving 2:35 pm and returning at 12:05 pm for $265.
user: Can you tell me the airport of origin and the destination?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {'playback_device': 'Kitchen speaker', 'artist': 'In This Moment', 'song_name': 'Sex Metal Barbie'}","system: No, they are moderate priced.
user: I see, could you help me play Sex Metal Barbie in the album In This Moment on the speaker in the kitchen please?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {}","system: Just to confirm, you want me to play Written In Sand out of the bedroom speaker. Is this correct?
user: Yeah. Sounds good to me.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '3', 'destination_city': 'Chicago'}","system: Where is your destination?
user: I want to go to Chicago with three people.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","system: How about a Delta Airlines flight leaving at 9:15 am, with 1 stop. It costs $344.
user: Are there any other flights?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}","system: There is a nice house located at 1 Washington Circle Northwest, Washington, District of Columbia 20037, United States. It has a rating of 4.3.
user: That house is a great choice.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_type': 'Music'}","system: What do you consider to be fun? Music, sports or maybe something else?
user: I am interested in attending a concert.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: 
Requested slots: 
Slot values: {}","system: Is there anything else?
user: No, you have been very kind.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '11 am'}","system: What is the time that works for you?
user: Is there an appointment available at 11 am?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'location': 'Newark', 'movie_name': 'The Curse of La Llorona'}","system: Can you give me the name of the movie you want to watch and your location?
user: I would like to see The Curse of La Llorona in Newark please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'to_location': '[CLS]'}","system: Could I further assist you then?
user: Could you help me search for a bus traveling there too?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': '13th of March'}","system: And how long do you need it till?
user: Only till the 13th of March.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'doctor_name': 'Dr . Hoang M . Duong , MD'}","system: There are 3 Dermatologist in Milpitas. For example Dr. Hoang M. Duong, MD
user: Yes, it's ok for me","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}","system: Sure, you can contact them at 602-716-2000.
user: Sure, that is all I need for now, thank you!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: GetEvents
Requested slots: 
Slot values: {'event_date': 'Friday next week'}","system: 
user: I want to check my calendar for events for Friday next week.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'album': 'Unapologetic', 'artist': 'Rihanna'}","system: I found Sick Love by Red Hot Chili Peppers from the album The Getaway.
user: Can you find some songs from Rihanna from the album Unapologetic?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time
Slot values: {}","system: Okay, so I am getting 2 tickets to the event tomorrow. Is that right?
user: Yes, that's fine. What time does it start?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'departure_date': '1st of this month', 'return_date': '14th of this month'}","system: What date would you like to begin travel and are you returning on MArch 13th?
user: I would like to leave on the 1st of this month and return on the 14th of this month,","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'next Wednesday', 'hotel_name': 'Doubletree by Hilton Hotel San Diego - Del Mar'}","system: 
user: Hi, I'd like to book a hotel reservation for next Wednesday at Doubletree by Hilton Hotel San Diego - Del Mar.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}","system: check in march 3rd and check out march 4th
user: yes that is good","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'to_location': 'NYC'}","system: Absolutely! Where are you going?
user: I'm going to NYC.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '1', 'area': 'San Leandro'}","system: Where are you looking and how many bedrooms?
user: Look for a 1 bedroom in San Leandro.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: destination_airport
Slot values: {}","system: There's 1 flight that suits your preference. It's a Delta Airlines flight with an outbound flight that departs at 4:40 pm and a return flight that leaves at 7:40 pm. It is $63 per ticket.
user: And what airport is the arrival at?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'movie_name': 'Dr . Strangelove'}","system: These three would be playing - Breakthrough, Dr. Strangelove and Fighting with My Family.
user: I've been wanting to see Dr. Strangelove - perfect. Bye for now.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': 'four'}","system: How many days will you stay there?
user: I will be staying for four days.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: phone_number, street_address
Slot values: {}","system: You'd like to reserve 1 room at Palihotel Melrose in Los Angeles on for a stay beginning on March 11th and leaving on March 14th. Is that correct?
user: Yes, that's correct. Can you tell me the contact number and where it is located?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {}","system: 
user: Will you find round trip flights?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}","system: Dumbo, Hellboy or The Poseidon Adventure?
user: Any other movies?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}","system: 
user: I am interested in finding a salon.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: FindBus
Requested slots: origin_station_name
Slot values: {}","system: How about another one bus which leaves at 8:30 am for the flexible ticket cost $41?
user: From which station this bus will leave?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '1', 'date': '[CLS]'}","system: I have found one show of the movie at 1 pm in Edwards Fairfield 16 & IMAX.
user: Seems nice. Can you try to book a table at the restaurant I liked before? I need the reservation for one person.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_1
Active intent: PlaySong
Requested slots: genre, year
Slot values: {'playback_device': 'TV'}","system: Want want to cast the song Alone With You on TV, right?
user: That is right. What genre is it and what year was it released?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}","system: Would you like me to make a reservation?
user: Not right now but can you check a bus leaving from Long Beach and going there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: Very well, I need to get 4 seats for the Falcons Vs Rams on March 11th in Atlanta, correct?
user: You got it, go for it.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: refundable
Slot values: {}","system: From o'hare international airport.
user: I am not sure if I want to go so I need to know if the ticket is refundable?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}","system: Confirming hairdresser appointment on March 14th, 1:30 pm, at 1047 Lincoln Highway suite 101.
user: Okay, thanks a lot.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {}","system: Appointment at 4:15 pm at the hair stylist Oz A Salon Inc.
user: That's okay now.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'property_name': 'Americana Apartments'}","system: I searched and found 10 nice apartments. Americana Apartments is a nice property at 4445 Stevenson Boulevard with 2 bed rooms and 2 baths. The rent for the apartment is $2,800 per month.
user: Yes. it is good.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: FindProvider
Requested slots: phone_number, street_address
Slot values: {}","system: it is 4.8
user: what is the address?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'restaurant_name': '2g Japanese Brasserie'}","system: 2g Japanese Brasserie is a nice San Francisco restaurant.
user: Sounds great. What times are available for the movie tomorrow at AMC Metreon?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}","system: Your ticket has been confirmed. You will arrive at Intercity Terminal.
user: Appreciate your efforts in securing me a bus ticket.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}","system: 
user: I'm increasingly seeing double at times and itching a lot. Do you have the name of a doctor I can go see?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","system: 
user: Please help me find one-way flights.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'city': 'New York City'}","system: Which city would you like me to search in?
user: I want to do something in New York City.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'has_wifi': 'True', 'number_of_rooms': '1', 'destination': '[CLS]'}","system: There are 8 available economy extra buses, would you like one which departs at 7:10 am which costs $38?
user: That is fine with me, could you also help me search for one room at a hotel in that area with wifi services?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: 
Requested slots: 
Slot values: {}","system: Is there anything else I can help with?
user: No, Thank you.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: phone_number, price_range
Slot values: {}","system: Confirm, in Walnut Creek, China Palace Restaurant at 12:45 pm for 3 on March 14th.
user: That is good. What is price range and contact?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': 'March 14th'}","system: Which day do you want me to check?
user: Please look on March 14th.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {}","system: i found 3 restaurant in livermore. what about campo di bocce of livermore
user: what else can you find","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}","system: The first result that I have found is a Gynecologist by the name of Kochenburger Richard J MD located in Alameda. Would you like me to contact them?
user: What else can you find?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}","system: Event Doctor appointment added on March 2nd at 1580 Valencia Street #508 at 12 pm.
user: Yes, that is perfect.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_tickets': '1'}","system: How many do you need?
user: Just 1 ticket","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '1', 'seating_class': 'Economy', 'departure_date': 'Tuesday next week', 'destination': '[CLS]', 'origin': 'san Fran'}","system: Your booking is done. The venue is the Teragram Ballroom and starts at 6:30 pm
user: Ok, thaks. Now get me economy tickets from san Fran on Tuesday next week","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music
Slot values: {'party_size': '2', 'date': 'March 1st'}","system: Please confirm that you want to book a table at Platano in Berkeley at 12:15 pm for 2 people on March 1st.
user: Yes that works. Is there live music?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}","system: I was able to contact a transportation company and your cab is on the way.
user: I would like to get something to eat as well, preferably some kind of costly, Asian food.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_2
Active intent: ReserveCar
Requested slots: 
Slot values: {'car_type': 'Full-size', 'pickup_time': 'afternoon 12 : 30'}","system: What time do you want it and what kind of car?
user: I want a spacious car for pickup around afternoon 12:30 pm","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'location': 'Vallejo'}","system: Yes, let me know your current location to search accordingly.
user: Search it in Vallejo.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: destination_station_name, origin_station_name
Slot values: {}","system: Your seats are booked.
user: Where does that get in? Where's it leave from?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'city_of_event': 'San Francisco', 'date': '13th of this month', 'event_name': 'Matt Corby'}","system: 
user: Will you reserve tickets to Matt Corby around San Francisco on 13th of this month?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RideSharing_1
Active intent: GetRide
Requested slots: ride_fare
Slot values: {}","system: Please confirm: Getting a cab for 1 person to go to Murray Circle Restaurant.
user: That is correct. What is the price?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_time': '11 am'}","system: I found 1 at Union Station that you may pick up on March 13th. It is a standard Ford Fusion.
user: I am not really into Ford cars. Can you find me another one that I may pick up at 11 am?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': 'Blueface'}","system: There are 10 options for you. One is Blueface at The Fillmore Philadelphia.
user: Sounds just right that's all man.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: FindProvider
Requested slots: average_rating, phone_number
Slot values: {}","system: 1512 Barber Shop in San Francisco will be nice.
user: Get me the contact number and rating details, please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: Kindly ensure that, on March 11th, 2 tickets have been booked ofr Starset at Los Angeles.
user: Yes. it is good for me.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'location': 'Santa Rosa', 'movie_name': 'Hellboy'}","system: 
user: I'm looking for Hellboy show times. Can you search in Santa Rosa?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'event_name': '[CLS]'}","system: The address is 1 Blue Jays Way.
user: That sounds good, I want to find dates for events.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {}","system: Ace Hotel Chicago, with rating 4.6
user: Do you have other proposals?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'destination': '[CLS]'}","system: 100 Greenwich Street seems pretty good and it is rated at 3.9.
user: That's the house I want and now I need a bus to get there.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'departure_time': '8 : 30 am'}","system: Unfortunately, that bus is full as well! How about a bus that leaves at 8:30 am with tickets that cost $24 each? And to answer your questions, the bus leaves the Intercity Terminal and reaches Port Authority Station.
user: Yeah, that bus would be great!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {}","system: Please give me your confirmation to book an appointment with doctor Gul A. Zikria, M.D., FACOG, on March 1st at 2 pm.
user: That is correct, please go ahead.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: phone_number
Slot values: {}","system: You could visit Alcatraz, it is a Historical Landmark
user: How can I contact them?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: 201 Van Ness Avenue at 6 pm.
user: Thanks. Will you find a restaurant there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'outbound_departure_time': '4 : 40 pm'}","system: There is a $91 American Airlines flight leaving at 4:40 pm that also has 0 stops. What about that one?
user: That one sounds good. Go ahead and book a one-way ticket.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: 
Requested slots: 
Slot values: {}","system: Are you ready to buy tickets?
user: Not yet. Am I available that day?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: phone_number, street_address
Slot values: {}","system: I have located 10 hotels. What do you think of Aloft Philadelphia Airport? It has a rating of 4.0.
user: What is the phone number of the venue and what is its address?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'price_range': 'moderate', 'serves_alcohol': 'True', 'city': '[CLS]', 'cuisine': '[CLS]', 'date': '[CLS]', 'restaurant_name': '[CLS]'}","system: Your booking is done, Its unisex
user: Please book a table at the earlier restaurant","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: price_range, serves_alcohol
Slot values: {'party_size': '2'}","system: Let's go over the details quickly. You want to book a table for 2 at 1 pm at Bottega Napa Valley in Yountville? This will be on March 14th.
user: I agree with all that, yes. How are the prices there? Are they above average? Also, do they serve liquor?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '2nd of March', 'appointment_time': 'quarter past 2 in the afternoon'}","system: Sorry, your appointment could not be made. How could I further assist you?
user: Yes please, could you try to book an appointment on the 2nd of March at quarter past 2 in the afternoon instead?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}","system: Please confirm the following details: Play Family with subtitles.
user: Yes, please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'NY'}","system: 
user: I would like a one way from to NY please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'origin': 'New York'}","system: Where would you like to leave from?
user: I want to leave from New York.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '7th of March', 'appointment_time': '11 o "" clock in the morning'}","system: Would you like me to book an appointment?
user: Yes I want visit the salon on the 7th of March for 11 o""clock in the morning.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: refundable
Slot values: {}","system: alaska airlines leaves 12 pm for 1 stop and $302
user: is it refundable?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': 'Berkeley', 'cuisine': 'Oriental'}","system: In what city would you like to dine?
user: I want Oriental food in Berkeley.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
