id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
197,Where would you be departing from?,From San Francisco.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'origin_city': 'San Francisco'}",Hello! How can I assist you today with your flight booking?,I'm looking to book a one-way flight from San Francisco.,"[0.6, 0.8, 0.5, 0.7, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.5]","[0.1507938802242279, 0.2269366979598999, 0.2003108561038971, 0.15735460817813873, 0.26460394263267517]","[0.15654949843883514, 0.2232835441827774, 0.20587658882141113, 0.15379895269870758, 0.26049143075942993]","[0.4492061197757721, 0.5730633020401001, 0.2996891438961029, 0.5426453918218612, 0.13539605736732485]","[0.5434505015611648, 0.3767164558172226, 0.39412341117858884, 0.6462010473012925, 0.23950856924057007]"
198,At what time will that be?,It'll be at 5:30 pm.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '5 : 30 pm'}",Welcome to our restaurant! How can I assist you today with making a reservation for 5:30 pm?,"I'd like to make a reservation for 2 people at 5:30 pm, please.","[0.8, 0.7, 0.6, 0.75, 0.5]","[0.75, 0.8, 0.7, 0.85, 0.45]","[0.1574864387512207, 0.21560931205749512, 0.20814935863018036, 0.15328429639339447, 0.26547059416770935]","[0.16532938182353973, 0.21509182453155518, 0.21361039578914642, 0.1527995616197586, 0.25316888093948364]","[0.6425135612487793, 0.48439068794250484, 0.3918506413698196, 0.5967157036066055, 0.23452940583229065]","[0.5846706181764603, 0.5849081754684449, 0.48638960421085353, 0.6972004383802414, 0.19683111906051637]"
199,,I need a standard rental car for the 9th of March.,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'car_type': 'Standard', 'pickup_date': '9th of March'}",Welcome to our car rental service! How can I assist you today?,I'm looking to rent a Standard car on the 9th of March. Can you help me with the available options?,"[0.75, 0.6, 0.5, 0.8, 0.4]","[0.65, 0.45, 0.7, 0.85, 0.3]","[0.1501622349023819, 0.22088505327701569, 0.20659475028514862, 0.1555948555469513, 0.2667631506919861]","[0.1516074240207672, 0.2171318233013153, 0.20740820467472076, 0.17129293084144592, 0.252559632062912]","[0.5998377650976181, 0.3791149467229843, 0.2934052497148514, 0.6444051444530488, 0.13323684930801394]","[0.4983925759792328, 0.2328681766986847, 0.4925917953252792, 0.678707069158554, 0.047440367937088]"
200,Shall we proceed with tickets booking for this bus now?,"No, we will do it later. Now, I need a Car for rent from Vancouver, BC up to the 11th and a small car is enough to me. Can you search for the one?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome! How can I assist you with your bus-related queries today?,I'm looking to plan a bus trip for a group of friends. Can you help me with the schedule and ticketing options?,"[0.6, 0.8, 0.5, 0.7, 0.4]","[0.7, 0.6, 0.8, 0.7, 0.5]","[0.15332773327827454, 0.2249809205532074, 0.19704918563365936, 0.1631021350622177, 0.26154008507728577]","[0.15280653536319733, 0.21135477721691132, 0.21284200251102448, 0.16594763100147247, 0.2570490837097168]","[0.44667226672172544, 0.5750190794467926, 0.30295081436634064, 0.5368978649377822, 0.13845991492271426]","[0.5471934646368026, 0.38864522278308866, 0.5871579974889756, 0.5340523689985275, 0.2429509162902832]"
201,Would you like to leave on March 7th?,I want to leave the day after tomorrow.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'departure_date': 'day after tomorrow'}",Good afternoon! How can I assist you today in finding a bus for the day after tomorrow?,Hello! I'm looking to book a bus for the day after tomorrow. Can you help me with that?,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.7, 0.6, 0.5, 0.8, 0.4]","[0.14804284274578094, 0.21269556879997253, 0.20785008370876312, 0.1583716720342636, 0.2730398178100586]","[0.14946910738945007, 0.21999649703502655, 0.20645691454410553, 0.16275490820407867, 0.26132258772850037]","[0.45195715725421903, 0.5873044312000275, 0.1921499162912369, 0.5416283279657363, 0.026960182189941395]","[0.5505308926105499, 0.3800035029649734, 0.29354308545589447, 0.6372450917959214, 0.13867741227149966]"
202,,I need to go out of town for a work conference. Can you find some one-way flights?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",Hello! How can I assist you today with booking a one-way flight?,I'm looking to book a flight from New York to Los Angeles for next week.,"[0.8, 0.7, 0.6, 0.75, 0.65]","[0.75, 0.6, 0.7, 0.8, 0.7]","[0.15197913348674774, 0.22111940383911133, 0.19709081947803497, 0.16146022081375122, 0.26835036277770996]","[0.15943662822246552, 0.2188752293586731, 0.20137490332126617, 0.1574975997209549, 0.2628156244754791]","[0.6480208665132523, 0.4788805961608886, 0.402909180521965, 0.5885397791862488, 0.38164963722229006]","[0.5905633717775345, 0.3811247706413269, 0.4986250966787338, 0.6425024002790451, 0.43718437552452083]"
203,Want to play it right now?,"No, not right now.","Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm looking for recommendations on movies to watch.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.3, 0.7, 0.6, 0.4]","[0.15056157112121582, 0.21557588875293732, 0.19894838333129883, 0.16186141967773438, 0.27305275201797485]","[0.15885141491889954, 0.21650059521198273, 0.22561681270599365, 0.15742649137973785, 0.24160467088222504]","[-0.15056157112121582, -0.21557588875293732, -0.19894838333129883, -0.16186141967773438, -0.27305275201797485]","[0.34114858508110046, 0.08349940478801726, 0.4743831872940063, 0.4425735086202621, 0.15839532911777499]"
204,Anything else today?,"No, I'm good.","Service name: Music_1
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you with music today?,I'm really excited to explore new genres of music and broaden my musical horizons.,"[0.8, 0.6, 0.7, 0.75, 0.45]","[0.85, 0.4, 0.8, 0.7, 0.3]","[0.15280066430568695, 0.22595466673374176, 0.2022486925125122, 0.1585066318511963, 0.26048943400382996]","[0.15585459768772125, 0.21610155701637268, 0.2050861269235611, 0.16522224247455597, 0.2577355206012726]","[0.6471993356943131, 0.3740453332662582, 0.49775130748748775, 0.5914933681488037, 0.18951056599617006]","[0.6941454023122787, 0.18389844298362734, 0.594913873076439, 0.534777757525444, 0.042264479398727406]"
205,Your tickets have been purchased.,What is the bus station arrival station?,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: to_station
Slot values: {}",Welcome! How may I assist you today with purchasing a bus ticket?,"I would like to buy a bus ticket to the city center, please.","[0.8, 0.6, 0.7, 0.75, 0.4]","[0.65, 0.45, 0.6, 0.7, 0.5]","[0.14948783814907074, 0.2188776284456253, 0.19767767190933228, 0.15948042273521423, 0.27447646856307983]","[0.15360009670257568, 0.2179979830980301, 0.21723073720932007, 0.1625296175479889, 0.24864158034324646]","[0.6505121618509293, 0.3811223715543747, 0.5023223280906677, 0.5905195772647858, 0.1255235314369202]","[0.49639990329742434, 0.23200201690196992, 0.3827692627906799, 0.5374703824520111, 0.25135841965675354]"
206,"Sure Here's what I have 3 pm, March 1st for The salon Breds Barbershop.",That's great. Is it unisex? What's their contact number?,"Service name: Services_1
Active intent: BookAppointment
Requested slots: is_unisex, phone_number
Slot values: {}",Welcome! How can I assist you today?,"I'd like to book an appointment for a haircut. Is the service unisex? Also, may I provide my phone number?","[0.7, 0.6, 0.8, 0.75, 0.5]","[0.65, 0.8, 0.7, 0.8, 0.45]","[0.1527860313653946, 0.21910038590431213, 0.19736319780349731, 0.16026151180267334, 0.2704888582229614]","[0.16085118055343628, 0.21961385011672974, 0.2049746960401535, 0.1613464653491974, 0.2532138228416443]","[0.5472139686346054, 0.38089961409568784, 0.6026368021965027, 0.5897384881973267, 0.22951114177703857]","[0.48914881944656374, 0.5803861498832703, 0.49502530395984645, 0.6386535346508027, 0.19678617715835572]"
207,There are 8 buses that are suitable. There is one that departs at 8:10 am. It had 0 transfers and a ticket costs $37.,Thank you for that information. Can you reserve 1 room at the hotel that you found? I need it for 4 days from March 1st.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_rooms': '1', 'check_in_date': 'March 1st', 'destination': '[CLS]', 'hotel_name': '[CLS]', 'number_of_days': '4'}",Welcome! How can I assist you with your hotel reservation today?,I would like to reserve a room for one person from March 1st for 4 days.,"[0.7, 0.8, 0.6, 0.7, 0.5]","[0.6, 0.7, 0.7, 0.8, 0.4]","[0.15372997522354126, 0.22887547314167023, 0.19863653182983398, 0.15513797104358673, 0.26362013816833496]","[0.1506740003824234, 0.22088439762592316, 0.19649410247802734, 0.16904470324516296, 0.26290276646614075]","[0.5462700247764587, 0.5711245268583298, 0.401363468170166, 0.5448620289564132, 0.23637986183166504]","[0.4493259996175766, 0.4791156023740768, 0.5035058975219726, 0.6309552967548371, 0.13709723353385928]"
208,"Well, there are 10 things. What about Angels Flight Railway. It's a Historical Landmark.",Is it Child friendly?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: good_for_kids
Slot values: {}",Welcome! How can I assist you in finding attractions that are suitable for kids?,I'm looking for family-friendly activities that my kids will enjoy.,"[0.7, 0.6, 0.5, 0.8, 0.4]","[0.7, 0.6, 0.5, 0.8, 0.4]","[0.1487373560667038, 0.2207808494567871, 0.19840921461582184, 0.16345514357089996, 0.2686174213886261]","[0.155760258436203, 0.21312099695205688, 0.20654937624931335, 0.16506320238113403, 0.2595062255859375]","[0.5512626439332962, 0.37921915054321287, 0.30159078538417816, 0.6365448564291001, 0.13138257861137392]","[0.544239741563797, 0.3868790030479431, 0.29345062375068665, 0.634936797618866, 0.14049377441406252]"
209,"1 Thai restaurant is there in Windsor, the Tomi Thai.",Is it costly or not?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: price_range
Slot values: {}",Hello! How can I assist you today in finding a restaurant?,I'm looking for a restaurant to dine in. Can you recommend one within a specific price range?,"[0.7, 0.8, 0.6, 0.65, 0.5]","[0.65, 0.75, 0.7, 0.8, 0.6]","[0.14462651312351227, 0.21875254809856415, 0.1960631012916565, 0.16173942387104034, 0.27881839871406555]","[0.148738294839859, 0.2257271707057953, 0.19990167021751404, 0.16296617686748505, 0.2626666724681854]","[0.5553734868764877, 0.5812474519014359, 0.4039368987083435, 0.4882605761289597, 0.22118160128593445]","[0.501261705160141, 0.5242728292942047, 0.5000983297824859, 0.637033823132515, 0.33733332753181455]"
210,Please confirm the following: You want a table at Bergerac for 3 people in San Francisco on March 13th at 2 pm.,"Yes, that sounds great. Do they serve alcohol?","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: serves_alcohol
Slot values: {}",Welcome! How can I assist you with making a restaurant reservation today?,Hi there! I'm looking to book a table for two. Does the restaurant serve alcohol?,"[0.5, 0.6, 0.7, 0.8, 0.4]","[0.6, 0.7, 0.8, 0.75, 0.35]","[0.15288642048835754, 0.2229570746421814, 0.20012666285037994, 0.14981494843959808, 0.27421489357948303]","[0.14627327024936676, 0.22813089191913605, 0.21116593480110168, 0.15093493461608887, 0.26349493861198425]","[0.34711357951164246, 0.3770429253578186, 0.49987333714962, 0.650185051560402, 0.125785106420517]","[0.4537267297506332, 0.4718691080808639, 0.5888340651988984, 0.5990650653839111, 0.08650506138801572]"
211,Burke Museum of Natural History and Culture is a local Museum.,Great. Can you book the bus tickets?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm looking for some recommendations on attractions to visit in the area.,"[0.8, 0.6, 0.7, 0.9, 0.4]","[0.7, 0.4, 0.8, 0.9, 0.5]","[0.15056157112121582, 0.21557588875293732, 0.19894838333129883, 0.16186141967773438, 0.27305275201797485]","[0.15161766111850739, 0.22963431477546692, 0.2145473212003708, 0.1576526165008545, 0.2465481013059616]","[0.6494384288787842, 0.38442411124706266, 0.5010516166687011, 0.7381385803222656, 0.12694724798202517]","[0.5483823388814926, 0.1703656852245331, 0.5854526787996293, 0.7423473834991455, 0.2534518986940384]"
212,What city would you like the dentist in?,In Sunnyvale would be great.,"Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {'city': 'Sunnyvale'}",Welcome! How can I assist you today in finding a provider in Sunnyvale?,I'm looking for a healthcare provider in Sunnyvale. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.75, 0.65, 0.7, 0.8, 0.5]","[0.15066778659820557, 0.2250756174325943, 0.19823992252349854, 0.1599002331495285, 0.26611632108688354]","[0.1567450761795044, 0.22227171063423157, 0.2017972618341446, 0.16606304049491882, 0.25312286615371704]","[0.6493322134017945, 0.47492438256740566, 0.40176007747650144, 0.5900997668504715, 0.13388367891311648]","[0.5932549238204956, 0.42772828936576845, 0.49820273816585536, 0.6339369595050812, 0.24687713384628296]"
213,Your reservation is set. Have a great time!,I also would like to find a round trip ticket to get there. I prefer to fly with Delta Airlines. I will be starting to travel on the 1st of March. Please look for flights from LAX.,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'Delta Airlines', 'passengers': '4', 'departure_date': '1st of March', 'destination': '[CLS]', 'origin': 'LAX'}",Welcome! How can I assist you with your flight booking today?,Hello! I would like to book a roundtrip flight for 4 passengers with Delta Airlines from LAX on the 1st of March.,"[0.5, 0.6, 0.4, 0.7, 0.3]","[0.7, 0.8, 0.6, 0.8, 0.2]","[0.1553531140089035, 0.23040498793125153, 0.19963590800762177, 0.15359145402908325, 0.26101452112197876]","[0.1488226056098938, 0.2219344824552536, 0.2023521214723587, 0.15428143739700317, 0.2726094126701355]","[0.3446468859910965, 0.36959501206874845, 0.20036409199237826, 0.5464085459709167, 0.03898547887802123]","[0.5511773943901062, 0.5780655175447464, 0.3976478785276413, 0.6457185626029969, -0.07260941267013549]"
214,,I would like to find a rental car.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",Welcome to our car rental service. How can I assist you today?,I'm looking for a car for a weekend getaway. Can you help me find one?,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.75, 0.6, 0.65, 0.8, 0.4]","[0.15309381484985352, 0.21782058477401733, 0.20554758608341217, 0.15360406041145325, 0.26993390917778015]","[0.15591038763523102, 0.22913312911987305, 0.2051181197166443, 0.1661064773797989, 0.24373182654380798]","[0.6469061851501465, 0.4821794152259826, 0.3944524139165878, 0.5963959395885468, 0.23006609082221985]","[0.594089612364769, 0.37086687088012693, 0.44488188028335574, 0.6338935226202012, 0.15626817345619204]"
215,"If you like museum, there is American folk art museum there.",can you suggest some other performance venue?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Performing Arts Venue'}",Welcome! How can I assist you in finding performing arts venues?,I'm really excited to explore different performing arts venues in the area. I love experiencing new and creative forms of expression.,"[0.8, 0.6, 0.7, 0.75, 0.5]","[0.85, 0.4, 0.8, 0.65, 0.3]","[0.14657706022262573, 0.2336203008890152, 0.1862252652645111, 0.16196057200431824, 0.27161675691604614]","[0.1511020064353943, 0.22064383327960968, 0.20434340834617615, 0.16551311314105988, 0.25839763879776]","[0.6534229397773743, 0.3663796991109848, 0.5137747347354888, 0.5880394279956818, 0.22838324308395386]","[0.6988979935646057, 0.17935616672039034, 0.5956565916538239, 0.48448688685894015, 0.04160236120223998]"
216,We are in Palo Alto. You can reach us at 800-455-0057.,Thanks for helping me today. You've given me all the information I need.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {}",Welcome! How can I assist you today?,Hello! I would like to book an appointment for a consultation.,"[0.8, 0.7, 0.6, 0.65, 0.4]","[0.75, 0.65, 0.7, 0.8, 0.45]","[0.1527860313653946, 0.21910038590431213, 0.19736319780349731, 0.16026151180267334, 0.2704888582229614]","[0.15386751294136047, 0.22395437955856323, 0.20507988333702087, 0.1558901071548462, 0.26120805740356445]","[0.6472139686346055, 0.4808996140956878, 0.40263680219650266, 0.4897384881973267, 0.1295111417770386]","[0.5961324870586395, 0.4260456204414368, 0.4949201166629791, 0.6441098928451539, 0.18879194259643556]"
217,It will start at 7 pm at 2367 Shattuck Avenue.,Thank you for helping. I would like to find a restaurant there.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Welcome! How can I assist you in buying event tickets today?,I'm excited to explore some upcoming events and buy tickets for them!,"[0.8, 0.6, 0.7, 0.85, 0.4]","[0.75, 0.6, 0.85, 0.9, 0.3]","[0.1475992649793625, 0.21944566071033478, 0.19463956356048584, 0.16085591912269592, 0.27745959162712097]","[0.14138764142990112, 0.22833602130413055, 0.20061275362968445, 0.16484864056110382, 0.26481500267982483]","[0.6524007350206376, 0.3805543392896652, 0.5053604364395141, 0.689144080877304, 0.12254040837287905]","[0.6086123585700989, 0.3716639786958694, 0.6493872463703155, 0.7351513594388962, 0.03518499732017516]"
218,In which city?,I'm looking for attractions in New York.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': 'New York'}",Hello! How can I assist you today in exploring attractions in New York?,I'm excited to discover some new places in New York! Can you recommend some unique attractions?,"[0.7, 0.6, 0.6, 0.7, 0.4]","[0.8, 0.6, 0.7, 0.8, 0.3]","[0.14981672167778015, 0.22067399322986603, 0.19604924321174622, 0.16626527905464172, 0.2671947181224823]","[0.150495707988739, 0.23187130689620972, 0.20299853384494781, 0.16332972049713135, 0.25130462646484375]","[0.5501832783222198, 0.37932600677013395, 0.40395075678825376, 0.5337347209453582, 0.13280528187751772]","[0.649504292011261, 0.36812869310379026, 0.49700146615505214, 0.6366702795028687, 0.04869537353515624]"
219,Your taking off from Port Authority station and going to Intercity terminal.,"Great, I think that's good.","Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy', 'departure_time': '[CLS]'}",Hello! How may I assist you today?,I'm looking to find a bus with an economy fare type leaving at the specified departure time.,"[0.7, 0.8, 0.6, 0.7, 0.4]","[0.6, 0.7, 0.5, 0.8, 0.3]","[0.14687807857990265, 0.2169756293296814, 0.1962404102087021, 0.16098082065582275, 0.2789250612258911]","[0.15775297582149506, 0.22911982238292694, 0.20951130986213684, 0.15677686035633087, 0.24683907628059387]","[0.5531219214200973, 0.5830243706703186, 0.4037595897912979, 0.5390191793441772, 0.12107493877410891]","[0.4422470241785049, 0.470880177617073, 0.29048869013786316, 0.6432231396436692, 0.05316092371940612]"
220,"Sure, under what name do you wish to save the event?",Please can you save it under the name Visit appointment?,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_name': 'Visit appointment'}",Hello! How can I assist you today with adding an event to your calendar?,I would like to add a visit appointment to my calendar.,"[0.75, 0.85, 0.65, 0.8, 0.4]","[0.7, 0.75, 0.6, 0.85, 0.5]","[0.1512625366449356, 0.22414696216583252, 0.20238573849201202, 0.15497340261936188, 0.2672313451766968]","[0.15685278177261353, 0.21299214661121368, 0.20101338624954224, 0.1742197424173355, 0.25492191314697266]","[0.5987374633550644, 0.6258530378341675, 0.447614261507988, 0.6450265973806382, 0.13276865482330324]","[0.5431472182273864, 0.5370078533887863, 0.39898661375045774, 0.6757802575826645, 0.24507808685302734]"
221,Your table is reserved.,"Thanks, I also need a cab.","Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {'number_of_seats': '2', 'destination': '[CLS]'}",Welcome to our ride-sharing service! How many seats do you need for your trip to the destination?,I need a ride for two to [CLS].,"[0.8, 0.6, 0.7, 0.85, 0.45]","[0.75, 0.65, 0.6, 0.8, 0.5]","[0.15060210227966309, 0.22739027440547943, 0.20374618470668793, 0.155951589345932, 0.26230981945991516]","[0.15800224244594574, 0.22564798593521118, 0.19960080087184906, 0.1640976071357727, 0.2526513934135437]","[0.649397897720337, 0.37260972559452055, 0.49625381529331203, 0.694048410654068, 0.18769018054008485]","[0.5919977575540543, 0.42435201406478884, 0.4003991991281509, 0.6359023928642273, 0.2473486065864563]"
222,There will be one showing at 9:30 pm at Century 25 Union Landing & XD.,"That's a little late, but it sounds good. Thank you that will be all I need.","Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '9 : 30 pm'}",Welcome! How can I assist you today with movie show times?,Hi there! I'm interested in watching a movie tonight. Could you please provide me with the show time at 9:30 pm?,"[0.8, 0.6, 0.7, 0.75, 0.4]","[0.85, 0.7, 0.6, 0.8, 0.5]","[0.1514793485403061, 0.21945546567440033, 0.20241187512874603, 0.1580217033624649, 0.26863157749176025]","[0.15535855293273926, 0.21264784038066864, 0.20873717963695526, 0.16372472047805786, 0.2595316469669342]","[0.648520651459694, 0.38054453432559965, 0.4975881248712539, 0.5919782966375351, 0.13136842250823977]","[0.6946414470672607, 0.4873521596193313, 0.3912628203630447, 0.6362752795219422, 0.2404683530330658]"
223,8 attractions check California automobile museum. It is a museum,wanna say this is a child friendly place?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: good_for_kids
Slot values: {}",Welcome! How can I assist you with finding attractions for your trip?,I'm looking for attractions that are good for kids. They love interactive and educational experiences.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.6, 0.8, 0.85, 0.4]","[0.15429124236106873, 0.22557470202445984, 0.20484837889671326, 0.1508941352367401, 0.26439160108566284]","[0.15622664988040924, 0.2148088961839676, 0.21237285435199738, 0.15991953015327454, 0.25667208433151245]","[-0.15429124236106873, -0.22557470202445984, -0.20484837889671326, -0.1508941352367401, -0.26439160108566284]","[0.5937733501195908, 0.3851911038160324, 0.5876271456480027, 0.6900804698467254, 0.14332791566848757]"
224,it's directed by tim burton,thanks,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}",Welcome! What movie genre are you in the mood for today?,"I love exploring different genres, especially indie films that challenge the norm.","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.7, 0.2, 0.6, 0.8, 0.1]","[0.1457652747631073, 0.22864623367786407, 0.2055082470178604, 0.1593097746372223, 0.2607704699039459]","[0.15871132910251617, 0.20822873711585999, 0.20877236127853394, 0.15794353187084198, 0.26634398102760315]","[-0.1457652747631073, -0.22864623367786407, -0.2055082470178604, -0.1593097746372223, -0.2607704699039459]","[0.5412886708974838, -0.008228737115859974, 0.39122763872146604, 0.6420564681291581, -0.16634398102760314]"
225,There's a standard accord available at Portland Bus Station on March 7th,What else is there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",Welcome to our car rental service. How can I assist you today?,I'm looking for a compact car for a weekend getaway. Can you help me with the available options?,"[0.75, 0.85, 0.65, 0.7, 0.6]","[0.8, 0.6, 0.75, 0.85, 0.5]","[0.15309381484985352, 0.21782058477401733, 0.20554758608341217, 0.15360406041145325, 0.26993390917778015]","[0.15793783962726593, 0.22488360106945038, 0.20685458183288574, 0.1690116673707962, 0.24131235480308533]","[0.5969061851501465, 0.6321794152259826, 0.44445241391658785, 0.5463959395885467, 0.3300660908222198]","[0.6420621603727341, 0.3751163989305496, 0.5431454181671143, 0.6809883326292038, 0.2586876451969147]"
226,Would you like to purchase tickets?,No not now. What are the showtimes?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_date': '[CLS]'}",Welcome to our movie service! How can I assist you today?,I'd like to know the showtimes for the latest movie on [CLS].,"[0.5, 0.7, 0.6, 0.8, 0.4]","[0.7, 0.3, 0.8, 0.6, 0.5]","[0.15339015424251556, 0.22262690961360931, 0.20138874650001526, 0.15816184878349304, 0.26443231105804443]","[0.15199817717075348, 0.21382154524326324, 0.20809689164161682, 0.1594248265028, 0.2666585147380829]","[0.34660984575748444, 0.47737309038639064, 0.3986112534999847, 0.641838151216507, 0.1355676889419556]","[0.5480018228292465, 0.08617845475673674, 0.5919031083583832, 0.4405751734972, 0.23334148526191711]"
227,You want 4 tickets to see the giants vs rockies on March 1st in San Francisco?,"Yes, that would be great.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm looking to purchase tickets for an upcoming event. Can you help me with that?,"[0.8, 0.6, 0.7, 0.85, 0.4]","[0.7, 0.65, 0.75, 0.8, 0.45]","[0.15056157112121582, 0.21557588875293732, 0.19894838333129883, 0.16186141967773438, 0.27305275201797485]","[0.14996010065078735, 0.2284916639328003, 0.20057208836078644, 0.16070154309272766, 0.26027458906173706]","[0.6494384288787842, 0.38442411124706266, 0.5010516166687011, 0.6881385803222656, 0.12694724798202517]","[0.5500398993492126, 0.42150833606719973, 0.5494279116392136, 0.6392984569072724, 0.18972541093826295]"
228,,Can you help me find a restaurant?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {}",Welcome to our restaurant recommendation service. How may I assist you today?,I'm looking for a cozy place to have dinner with my friends. Can you recommend a nice restaurant?,"[0.8, 0.6, 0.5, 0.7, 0.3]","[0.7, 0.5, 0.6, 0.8, 0.4]","[0.15095046162605286, 0.21689791977405548, 0.20221656560897827, 0.15025509893894196, 0.2796800136566162]","[0.15131883323192596, 0.21676619350910187, 0.20351603627204895, 0.16689158976078033, 0.26150742173194885]","[0.6490495383739472, 0.3831020802259445, 0.29778343439102173, 0.549744901061058, 0.020319986343383778]","[0.548681166768074, 0.28323380649089813, 0.396483963727951, 0.6331084102392197, 0.13849257826805117]"
229,,I want to watch the movie now. I want to watch it with subtitles.,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}",Welcome! Are you ready to watch a movie with subtitles?,"Absolutely! I love watching movies with subtitles, it enhances the experience.","[0.6, 0.8, 0.4, 0.7, 0.3]","[0.8, 0.6, 0.7, 0.8, 0.4]","[0.1547858715057373, 0.22493141889572144, 0.20318558812141418, 0.1621769368648529, 0.2549201250076294]","[0.15357506275177002, 0.21962246298789978, 0.21385279297828674, 0.14646609127521515, 0.2664835751056671]","[0.4452141284942627, 0.5750685811042786, 0.19681441187858584, 0.537823063135147, 0.045079874992370594]","[0.64642493724823, 0.3803775370121002, 0.4861472070217132, 0.6535339087247849, 0.1335164248943329]"
230,,I'm looking for a 1 bedroom apartment,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '1'}",Hello! How can I assist you today in finding the perfect apartment with 1 bedroom?,Hi there! I'm looking for a cozy apartment with 1 bedroom. I love exploring new spaces and decorating them with artistic touches.,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.85, 0.6, 0.7, 0.75, 0.45]","[0.14882516860961914, 0.2197403758764267, 0.20013423264026642, 0.15802744030952454, 0.2732727527618408]","[0.15581625699996948, 0.21327948570251465, 0.20923173427581787, 0.15876682102680206, 0.26290562748908997]","[0.6511748313903809, 0.48025962412357326, 0.39986576735973356, 0.5919725596904755, 0.22672724723815918]","[0.6941837430000305, 0.38672051429748533, 0.4907682657241821, 0.5912331789731979, 0.18709437251091005]"
231,"yes, it's downtown station",where will I get off?,"Service name: Buses_1
Active intent: FindBus
Requested slots: to_station
Slot values: {}",Hello! How can I assist you today with finding a bus to your destination?,Hi there! I'm looking to find a bus to the city center. Can you help me with that?,"[0.8, 0.7, 0.6, 0.85, 0.4]","[0.75, 0.65, 0.7, 0.8, 0.45]","[0.15006376802921295, 0.21670381724834442, 0.1994459331035614, 0.15820258855819702, 0.275583952665329]","[0.1485723853111267, 0.22517594695091248, 0.2034827321767807, 0.1647544652223587, 0.25801441073417664]","[0.6499362319707871, 0.48329618275165553, 0.4005540668964386, 0.691797411441803, 0.12441604733467104]","[0.6014276146888733, 0.42482405304908755, 0.49651726782321925, 0.6352455347776413, 0.19198558926582338]"
