id,system,user,intent,new_system,new_user,system_bf,user_bf
180,"How about Dogman, Hackers, or High Life?","Oh, Hackers is awesome. I'll watch that one.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'title': 'Hackers'}","How about Dogman, Hackers, or High Life?","Oh, Hackers is awesome. I'll watch that one.","[0.6, 0.8, 0.4, 0.6, 0.4]","[0.6, 0.4, 0.6, 0.6, 0.4]"
181,"Well, there are 3 choices. Try the Antioch Double Dragon.","Fine, I want a movie near there at Amc Deer Valley.","Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'restaurant_name': 'Double Dragon'}","Well, there are 3 choices. How about trying the Antioch Double Dragon?","Sure, I'd like to see a movie near there at Amc Deer Valley.","[0.8, 0.6, 0.6, 0.7, 0.4]","[0.7, 0.4, 0.5, 0.6, 0.3]"
182,I found a Delta Airlines flight that departs at 9:35 am with 1 stop for $208.,That flight works for me.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",I found a Delta Airlines flight that departs at 9:35 am with 1 stop for $208.,That flight works for me.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.2, 0.6, 0.4, 0.8]"
183,Is is a unisex salon. Their phone number is 415-987-5893. The booking was not successful. Would you be interested in an appointment at 10:30 am on March 4th at Ap Luxe Salon?,Yes. That is correct.,"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '10 : 30 am'}",It is a unisex salon. Their phone number is 415-987-5893. The booking was not successful. Would you be interested in an appointment at 10:30 am on March 4th at Ap Luxe Salon?,Yes. That is correct.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.6, 0.6, 0.4, 0.8, 0.2]"
184,I found 1 flight from Southwest Airlines that leaves at 4:25 am and returns at 2:50 pm. It costs $250,Which airport does it leave from? Is it refundable?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: origin_airport, refundable
Slot values: {}",I found 1 flight from Southwest Airlines that leaves at 4:25 am and returns at 2:50 pm. It costs $250.,Which airport does it leave from? Is it refundable?,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.4, 0.6, 0.4, 0.7, 0.4]"
185,"I searched and found 10 hotels. How about the AC Hotel by Marriott Atlanta Buckhead at Phipps Plaza? It's a very good hotel, with an average rating of 4.5.",I'd like to know my other options. Keep in mind I want just 1 room.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '1'}","I searched and found 10 hotels. How about the AC Hotel by Marriott Atlanta Buckhead at Phipps Plaza? It's a very good hotel, with an average rating of 4.5.",I'd like to know my other options. Keep in mind I want just 1 room.,"[0.8, 0.6, 0.4, 0.7, 0.2]","[0.7, 0.4, 0.6, 0.8, 0.3]"
186,August 1 Five is also in San Francisco.,That would be fine. I would like to make a reservation for 11 am.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'date': '[CLS]', 'restaurant_name': 'August 1 Five', 'time': '11 am'}",August 1 Five is also in San Francisco.,That would be fine. I would like to make a reservation for 11 am.,"[0.7, 0.9, 0.4, 0.6, 0.3]","[0.6, 0.7, 0.5, 0.7, 0.4]"
187,Your transfer is done.,Play me a movie on the web right now.,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}",Your transfer is done.,Play me a movie on the web right now.,"[0.5, 0.8, 0.3, 0.2, 0.4]","[0.6, 0.4, 0.7, 0.6, 0.2]"
188,this will be in august hall at 8 pm,"thank you, please also find me a round trip flight","Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",This event will take place at the prestigious August Hall at 8 pm.,Thank you. Could you also assist me in booking a round trip flight?,"[0.8, 0.7, 0.5, 0.6, 0.4]","[0.6, 0.5, 0.4, 0.7, 0.3]"
189,The address is 1234 West 7th Street.,That sounds great. I want to reserve 3 tickets.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '3', 'event_name': '[CLS]'}",The address is 1234 West 7th Street.,That sounds great. I want to reserve 3 tickets.,"[0.6, 0.8, 0.2, 0.5, 0.3]","[0.8, 0.4, 0.6, 0.7, 0.4]"
190,The cost is $24 per individual.,Where is the theater located?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: street_address
Slot values: {}",The cost is $24 per individual.,Where is the theater located?,"[0.8, 0.6, 0.4, 0.2, 0.1]","[0.6, 0.4, 0.2, 0.8, 0.3]"
191,,I need to find a hotel.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {}",The user expresses the need to find a hotel.,I'm really excited about planning my next adventure and exploring new places. I've been researching different hotels and their unique features to make sure I have the best experience. Do you have any recommendations?,"[0.6, 0.8, 0.4, 0.5, 0.3]","[0.8, 0.6, 0.7, 0.8, 0.4]"
192,Do you wish to buy tickets?,I don't want tickets but I want to find a restaurant there.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': '[CLS]'}",Do you wish to buy tickets?,I don't want tickets but I want to find a restaurant there.,"[0.5, 0.7, 0.2, 0.6, 0.3]","[0.7, 0.4, 0.3, 0.6, 0.4]"
193,What day are you checking out and checking in.,I am checking in on 1st of march and checking out on the 9th of this month.,"Service name: Hotels_2
Active intent: BookHouse
Requested slots: 
Slot values: {'check_in_date': '1st of march', 'check_out_date': '9th of this month'}",What day are you checking out and checking in.,I am checking in on 1st of march and checking out on the 9th of this month.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.9, 0.8, 0.5, 0.7, 0.2]"
194,,Hello! I'm wondering if you could help me find a movie?,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}",Hello! What kind of movie are you in the mood for? I'd be delighted to assist you in finding the perfect film.,Hello! I'm wondering if you could help me find a movie?,"[0.8, 0.7, 0.75, 0.85, 0.6]","[0.7, 0.6, 0.5, 0.8, 0.4]"
195,You want a table for 4 at Playa Mill Valley in Mill Valley at 4:30 pm on March 1st?,"Yes, I do.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}",You want a table for 4 at Playa Mill Valley in Mill Valley at 4:30 pm on March 1st?,"Yes, I do.","[0.6, 0.8, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.6, 0.4]"
196,There is no laundry. Here is that number +1 877-972-6378.,I only need the house for 1 are there more options?,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'number_of_adults': '1'}",There is no laundry. Here is that number +1 877-972-6378.,"I only need the house for 1, are there more options?","[0.4, 0.6, 0.3, 0.2, 0.5]","[0.6, 0.2, 0.5, 0.6, 0.3]"
197,Where would you be departing from?,From San Francisco.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'origin_city': 'San Francisco'}",Where would you be departing from?,From San Francisco.,"[0.6, 0.8, 0.4, 0.5, 0.3]","[0.8, 0.6, 0.5, 0.6, 0.4]"
198,At what time will that be?,It'll be at 5:30 pm.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '5 : 30 pm'}",At what time will that be?,It'll be at 5:30 pm.,"[0.5, 0.7, 0.3, 0.6, 0.4]","[0.6, 0.6, 0.5, 0.7, 0.5]"
199,,I need a standard rental car for the 9th of March.,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'car_type': 'Standard', 'pickup_date': '9th of March'}","Sure, we have a standard rental car available for you on the 9th of March. Can I have your name and contact information for the reservation?",I need a standard rental car for the 9th of March.,"[0.8, 0.7, 0.6, 0.85, 0.4]","[0.6, 0.4, 0.5, 0.7, 0.3]"
200,Shall we proceed with tickets booking for this bus now?,"No, we will do it later. Now, I need a Car for rent from Vancouver, BC up to the 11th and a small car is enough to me. Can you search for the one?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Shall we proceed with tickets booking for this bus now?,"No, we will do it later. Now, I need a Car for rent from Vancouver, BC up to the 11th and a small car is enough to me. Can you search for the one?","[0.6, 0.8, 0.4, 0.6, 0.3]","[0.8, 0.6, 0.5, 0.7, 0.4]"
201,Would you like to leave on March 7th?,I want to leave the day after tomorrow.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'departure_date': 'day after tomorrow'}",Would you like to leave on March 7th?,I prefer departing the day after tomorrow.,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]"
202,,I need to go out of town for a work conference. Can you find some one-way flights?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",The user expresses a need to go out of town for a work conference and requests assistance in finding one-way flights.,I have a work conference out of town coming up. Can you help me find some one-way flights?,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.7, 0.4]"
203,Want to play it right now?,"No, not right now.","Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}",Want to play it right now?,"No, not right now.","[0.7, 0.4, 0.6, 0.5, 0.3]","[0.4, 0.3, 0.4, 0.3, 0.5]"
204,Anything else today?,"No, I'm good.","Service name: Music_1
Active intent: 
Requested slots: 
Slot values: {}",Anything else today?,"No, I'm good.","[0.5, 0.7, 0.3, 0.6, 0.4]","[0.4, 0.3, 0.4, 0.6, 0.6]"
205,Your tickets have been purchased.,What is the bus station arrival station?,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: to_station
Slot values: {}",Your tickets have been successfully purchased.,What is the final destination of the bus route?,"[0.8, 0.7, 0.6, 0.5, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.3]"
206,"Sure Here's what I have 3 pm, March 1st for The salon Breds Barbershop.",That's great. Is it unisex? What's their contact number?,"Service name: Services_1
Active intent: BookAppointment
Requested slots: is_unisex, phone_number
Slot values: {}",Sure. Here's the appointment at 3 pm on March 1st for The Salon Breds Barbershop.,That sounds amazing! Is the salon open to both men and women? Could you please share their contact number with me?,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.8, 0.4]"
207,There are 8 buses that are suitable. There is one that departs at 8:10 am. It had 0 transfers and a ticket costs $37.,Thank you for that information. Can you reserve 1 room at the hotel that you found? I need it for 4 days from March 1st.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_rooms': '1', 'check_in_date': 'March 1st', 'destination': '[CLS]', 'hotel_name': '[CLS]', 'number_of_days': '4'}",There are 8 buses that are suitable. There is one that departs at 8:10 am. It had 0 transfers and a ticket costs $37.,Thank you for that information. Can you reserve 1 room at the hotel that you found? I need it for 4 days from March 1st.,"[0.6, 0.9, 0.4, 0.7, 0.3]","[0.8, 0.7, 0.6, 0.8, 0.4]"
208,"Well, there are 10 things. What about Angels Flight Railway. It's a Historical Landmark.",Is it Child friendly?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: good_for_kids
Slot values: {}","Well, there are 10 things. What about Angels Flight Railway. It's a Historical Landmark.",Is it Child friendly?,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.2, 0.4, 0.3, 0.6, 0.5]"
209,"1 Thai restaurant is there in Windsor, the Tomi Thai.",Is it costly or not?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: price_range
Slot values: {}",There is a Thai restaurant in Windsor called Tomi Thai.,Is it costly or not?,"[0.7, 0.8, 0.4, 0.6, 0.3]","[0.3, 0.2, 0.4, 0.2, 0.6]"
210,Please confirm the following: You want a table at Bergerac for 3 people in San Francisco on March 13th at 2 pm.,"Yes, that sounds great. Do they serve alcohol?","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: serves_alcohol
Slot values: {}",Please confirm the following: You want a table at Bergerac for 3 people in San Francisco on March 13th at 2 pm.,"Yes, that sounds great. Do they serve alcohol?","[0.7, 0.6, 0.3, 0.4, 0.5]","[0.6, 0.4, 0.4, 0.6, 0.5]"
211,Burke Museum of Natural History and Culture is a local Museum.,Great. Can you book the bus tickets?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}",Burke Museum of Natural History and Culture is a local Museum.,Great. Can you book the bus tickets?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.2, 0.6, 0.4, 0.8]"
212,What city would you like the dentist in?,In Sunnyvale would be great.,"Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {'city': 'Sunnyvale'}",What city would you like the dentist in?,In Sunnyvale would be great.,"[0.6, 0.8, 0.4, 0.6, 0.3]","[0.7, 0.4, 0.5, 0.7, 0.2]"
213,Your reservation is set. Have a great time!,I also would like to find a round trip ticket to get there. I prefer to fly with Delta Airlines. I will be starting to travel on the 1st of March. Please look for flights from LAX.,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'Delta Airlines', 'passengers': '4', 'departure_date': '1st of March', 'destination': '[CLS]', 'origin': 'LAX'}",Your reservation is set. Have a great time!,I also would like to find a round trip ticket to get there. I prefer to fly with Delta Airlines. I will be starting to travel on the 1st of March. Please look for flights from LAX.,"[0.8, 0.9, 0.4, 0.7, 0.2]","[0.7, 0.6, 0.5, 0.8, 0.3]"
214,,I would like to find a rental car.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",I would like to find a rental car.,I am interested in renting a car for a road trip to explore new places and try out different models.,"[0.5, 0.75, 0.25, 0.5, 0.25]","[0.75, 0.25, 0.5, 0.75, 0.25]"
215,"If you like museum, there is American folk art museum there.",can you suggest some other performance venue?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'Performing Arts Venue'}","If you like museum, there is American folk art museum there.",I'm more interested in experiencing live performances. Can you recommend some other venues for performances?,"[0.5, 0.4, 0.6, 0.7, 0.3]","[0.7, 0.3, 0.6, 0.7, 0.4]"
216,We are in Palo Alto. You can reach us at 800-455-0057.,Thanks for helping me today. You've given me all the information I need.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {}",We are in Palo Alto. You can reach us at 800-455-0057.,Thanks for helping me today. You've given me all the information I need.,"[0.75, 0.8, 0.2, 0.6, 0.35]","[0.7, 0.65, 0.4, 0.8, 0.25]"
217,It will start at 7 pm at 2367 Shattuck Avenue.,Thank you for helping. I would like to find a restaurant there.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",It will start at 7 pm at 2367 Shattuck Avenue.,Thank you for helping. I would like to find a restaurant there. Maybe a cozy Italian place with live music.,"[0.5, 0.8, 0.3, 0.6, 0.4]","[0.8, 0.4, 0.6, 0.8, 0.2]"
218,In which city?,I'm looking for attractions in New York.,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': 'New York'}",In which city?,I'm seeking out the most fascinating attractions in New York City that showcase artistic creativity and cultural diversity.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.5, 0.6, 0.8, 0.2]"
219,Your taking off from Port Authority station and going to Intercity terminal.,"Great, I think that's good.","Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy', 'departure_time': '[CLS]'}",Your taking off from Port Authority station and going to Intercity terminal.,"Great, I think that's good.","[0.7, 0.9, 0.3, 0.6, 0.4]","[0.6, 0.5, 0.4, 0.7, 0.5]"
220,"Sure, under what name do you wish to save the event?",Please can you save it under the name Visit appointment?,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_name': 'Visit appointment'}","Sure, under what name do you wish to save the event?",Please save it under the name Visit appointment.,"[0.6, 0.8, 0.4, 0.6, 0.4]","[0.6, 0.4, 0.4, 0.8, 0.6]"
221,Your table is reserved.,"Thanks, I also need a cab.","Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {'number_of_seats': '2', 'destination': '[CLS]'}",Your table is reserved.,"Thanks, I also need a cab.","[0.8, 0.9, 0.4, 0.7, 0.2]","[0.6, 0.5, 0.6, 0.8, 0.3]"
222,There will be one showing at 9:30 pm at Century 25 Union Landing & XD.,"That's a little late, but it sounds good. Thank you that will be all I need.","Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '9 : 30 pm'}",There will be one showing at 9:30 pm at Century 25 Union Landing & XD.,"That's a little late, but it sounds good. Thank you that will be all I need.","[0.4, 0.6, 0.2, 0.4, 0.6]","[0.6, 0.4, 0.4, 0.6, 0.2]"
223,8 attractions check California automobile museum. It is a museum,wanna say this is a child friendly place?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: good_for_kids
Slot values: {}",8 attractions check California automobile museum. It is a museum.,Do you think this museum is suitable for children?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.8, 0.6, 0.4, 0.8, 0.2]"
224,it's directed by tim burton,thanks,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}",It's directed by Tim Burton.,Thanks! I absolutely love Tim Burton's unique and imaginative style.,"[0.8, 0.6, 0.2, 0.4, 0.3]","[0.9, 0.5, 0.6, 0.7, 0.2]"
225,There's a standard accord available at Portland Bus Station on March 7th,What else is there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",There's a standard accord available at Portland Bus Station on March 7th.,What else is there? Are there any unique activities or places to visit around the bus station?,"[0.5, 0.8, 0.2, 0.4, 0.6]","[0.8, 0.4, 0.6, 0.8, 0.2]"
226,Would you like to purchase tickets?,No not now. What are the showtimes?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_date': '[CLS]'}",Would you like to purchase tickets?,"No, not now. What are the showtimes?","[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.2, 0.6, 0.4]"
227,You want 4 tickets to see the giants vs rockies on March 1st in San Francisco?,"Yes, that would be great.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",You want 4 tickets to see the giants vs rockies on March 1st in San Francisco?,"Yes, that would be great.","[0.4, 0.8, 0.6, 0.7, 0.3]","[0.6, 0.2, 0.4, 0.3, 0.7]"
228,,Can you help me find a restaurant?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {}","Sure, I can help you find a restaurant. What kind of cuisine are you in the mood for?",Can you help me find a restaurant?,"[0.8, 0.7, 0.6, 0.75, 0.45]","[0.4, 0.5, 0.3, 0.6, 0.65]"
229,,I want to watch the movie now. I want to watch it with subtitles.,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}",I'm glad you want to watch a movie! Do you have a specific genre in mind?,I want to watch the movie now. I want to watch it with subtitles.,"[0.7, 0.6, 0.5, 0.8, 0.4]","[0.6, 0.5, 0.4, 0.7, 0.3]"
230,,I'm looking for a 1 bedroom apartment,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '1'}","Sure, I can help you with that. Are you looking for something specific in the neighborhood?",I'm looking for a 1 bedroom apartment,"[0.7, 0.6, 0.5, 0.65, 0.4]","[0.6, 0.45, 0.4, 0.6, 0.5]"
231,"yes, it's downtown station",where will I get off?,"Service name: Buses_1
Active intent: FindBus
Requested slots: to_station
Slot values: {}","Yes, it's downtown station.",Where will I get off?,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.4, 0.3, 0.6, 0.4, 0.6]"
232,I've confirmed your reservation. It's located at 2367 Shattuck Avenue and starts at 8:30 pm.,"Great, can you also help me find some california cuisine nearby. Any price range is fine.","Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'price_range': 'dontcare', 'city': '[CLS]', 'cuisine': 'california'}",I've confirmed your reservation. It's located at 2367 Shattuck Avenue and starts at 8:30 pm.,"Great, can you also help me find some California cuisine nearby. Any price range is fine.","[0.6, 0.8, 0.4, 0.7, 0.3]","[0.8, 0.4, 0.6, 0.8, 0.2]"
233,Their number is 206-443-3643.,"Okay, cool. I'd like to get a hotel there. I need two rooms at the Inn At The Market.","Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_rooms': '2', 'hotel_name': 'Inn At The Market', 'location': '[CLS]'}",Their number is 206-443-3643.,Great! I'm excited about staying there. I'd like to reserve two rooms at the Inn At The Market.,"[0.6, 0.8, 0.2, 0.4, 0.3]","[0.8, 0.6, 0.6, 0.8, 0.2]"
234,You want a booking at Caffe Delle Stelle Restaurant in Walnut Creek for 2 people at 11 am on March 12th. Is that right?,That is right. What number can I call them at?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: phone_number
Slot values: {}",You want a booking at Caffe Delle Stelle Restaurant in Walnut Creek for 2 people at 11 am on March 12th. Is that right?,That is right. What number can I call them at?,"[0.6, 0.8, 0.4, 0.6, 0.3]","[0.6, 0.6, 0.4, 0.6, 0.4]"
235,You want a Luxury cab for 1 person. Is that right?,That is right. Can you tell me the price?,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: ride_fare
Slot values: {}",You want a Luxury cab for 1 person. Is that right?,That is correct. Could you please provide me with the pricing information?,"[0.6, 0.8, 0.4, 0.5, 0.3]","[0.7, 0.6, 0.5, 0.7, 0.4]"
236,What kind of film?,I want to watch a comic movie directed by Jonathan Levine,"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'directed_by': 'Jonathan Levine', 'genre': 'comic'}",What kind of film?,I want to watch a comic movie directed by Jonathan Levine,"[0.7, 0.6, 0.3, 0.5, 0.4]","[0.8, 0.4, 0.6, 0.7, 0.3]"
237,I found 10 hotels you may like. There's a 5 star one called Alila Bangsar.,I'll look into it later. That's all I need for now.,"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Alila Bangsar'}",I found 10 hotels you may like. There's a 5-star one called Alila Bangsar.,I'll look into it later. That's all I need for now.,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.4, 0.4, 0.2, 0.6, 0.8]"
238,"Okay! Sure, I can help you on this. At what time you wish to make the reservation?",Please can you reserve for four people at five in the evening.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '4', 'time': 'five in the evening'}","Okay! Sure, I can help you on this. At what time you wish to make the reservation?",Please can you reserve for four people at five in the evening.,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.6, 0.5, 0.4, 0.7, 0.45]"
239,I booked your ride. The total is $45.03 and it arrives in 14 minutes.,"Thanks, that's all.","Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}",I booked your ride. The total is $45.03 and it arrives in 14 minutes.,"Thanks, that's all.","[0.8, 0.9, 0.4, 0.7, 0.2]","[0.4, 0.2, 0.3, 0.6, 0.8]"
240,Your reservation was successful.,Thanks! I'd also like to search for a hotel in the area.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'location': '[CLS]'}",Your reservation was successful.,Thanks! I'd also like to search for a hotel in the area.,"[0.5, 0.7, 0.3, 0.4, 0.6]","[0.6, 0.4, 0.5, 0.6, 0.4]"
241,There are 6 buses. A bus leaves at 8 am. The Flexible ticket costs $45,"I want to leave from Washington, I need 4 seats","Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'group_size': '4', 'origin': 'Washington'}",There are 6 buses. A bus leaves at 8 am. The Flexible ticket costs $45.,"I want to leave from Washington, I need 4 seats.","[0.8, 0.9, 0.4, 0.6, 0.3]","[0.7, 0.7, 0.5, 0.8, 0.4]"
242,Do you want to go ahead and purchase tickets?,"Yeah, but not right now. What are some attractions around there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': '[CLS]'}",Do you want to go ahead and purchase tickets?,"Yeah, but not right now. What are some attractions around there?","[0.5, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.4]"
243,"There are 3 cars which you might like. One of the cars is a Cruze one, which can be picked up at SFO International Airport on March 10th, and it is a Standard car.","Can you recommend some other car? I am interested in renting a small car, and I will pick it up from Philly.","Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'type': 'Compact', 'pickup_city': 'Philly'}","There are 3 cars which you might like. One of the cars is a Cruze one, which can be picked up at SFO International Airport on March 10th, and it is a Standard car.","Can you recommend some other car? I am interested in renting a small car, and I will pick it up from Philly.","[0.6, 0.8, 0.4, 0.7, 0.3]","[0.8, 0.3, 0.6, 0.8, 0.2]"
244,,Will you find movies in San Ramon at THE LOT City Center?,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'location': 'San Ramon', 'theater_name': 'THE LOT City Center'}",Will you find movies in San Ramon at THE LOT City Center?,Sure! I can help you with that. Have you been to THE LOT City Center before? It's a great place to catch the latest movies.,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.8, 0.6, 0.7, 0.8, 0.4]"
245,Absolutely. How many days is the reservation for?,I would like to reserve a room for 1 day.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': '1'}",Absolutely. How many days is the reservation for?,I would like to reserve a room for 1 day.,"[0.8, 0.9, 0.4, 0.7, 0.2]","[0.6, 0.4, 0.3, 0.6, 0.5]"
246,Where are you planning on leaving from?,Leaving from Los ANgeles.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'origin': 'Los ANgeles'}",Where are you planning on leaving from?,Leaving from Los Angeles.,"[0.5, 0.7, 0.3, 0.6, 0.4]","[0.7, 0.4, 0.6, 0.7, 0.3]"
247,Anything else I can help with?,No. Thanks for helping.,"Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}",Anything else I can help with?,No. Thanks for helping.,"[0.6, 0.8, 0.2, 0.7, 0.3]","[0.4, 0.2, 0.4, 0.6, 0.7]"
248,Your ticket has been confirmed.,Thank you for helping. I would like to find a hotel there.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Your ticket has been confirmed.,Thank you for helping. I would like to find a hotel there.,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.7, 0.5, 0.6, 0.8, 0.2]"
249,Do you have a time preference?,I prefer quarter to 1 in the afternoon.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': 'quarter to 1 in the afternoon'}",Do you have a time preference?,I prefer quarter to 1 in the afternoon.,"[0.5, 0.8, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.2]"
250,"Kindly Ensure that, 4 tickets have been booked for the event at New York.",Yes. It is good for me. What is the starting time of the event and where is the location of the venue?,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time, venue_address
Slot values: {}","Kindly Ensure that, 4 tickets have been booked for the event at New York.",Yes. It is good for me. What is the starting time of the event and where is the location of the venue?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.4, 0.4, 0.4, 0.6, 0.4]"
251,When would you like to book your appointment?,Book it on the 10th of March around 12:30 in the afternoon.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '10th of March', 'appointment_time': '12 : 30 in the afternoon'}",When would you like to book your appointment?,Book it on the 10th of March around 12:30 in the afternoon.,"[0.67, 0.89, 0.23, 0.78, 0.45]","[0.78, 0.67, 0.45, 0.78, 0.34]"
252,And your check in date?,Wednesday next week.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'Wednesday next week'}",And your check in date?,I'll be arriving next Wednesday.,"[0.5, 0.8, 0.2, 0.6, 0.4]","[0.6, 0.7, 0.4, 0.7, 0.3]"
