id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
285,I found Sick Love by Red Hot Chili Peppers from the album The Getaway.,Can you find some songs from Rihanna from the album Unapologetic?,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'album': 'Unapologetic', 'artist': 'Rihanna'}",I found Sick Love by Red Hot Chili Peppers from the album The Getaway.,Can you find some songs from Rihanna from the album Unapologetic?,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.6, 0.4, 0.7, 0.8, 0.1]","[0.16084225475788116, 0.2420090287923813, 0.17860180139541626, 0.19536608457565308, 0.2231808304786682]","[0.17090407013893127, 0.24140262603759766, 0.1832975298166275, 0.1862093061208725, 0.21818645298480988]","[0.33915774524211884, 0.5579909712076188, 0.12139819860458373, 0.4046339154243469, -0.023180830478668202]","[0.4290959298610687, 0.15859737396240237, 0.5167024701833725, 0.6137906938791275, -0.11818645298480987]"
286,"Okay, so I am getting 2 tickets to the event tomorrow. Is that right?","Yes, that's fine. What time does it start?","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: time
Slot values: {}","Okay, so I am getting 2 tickets to the event tomorrow. Is that right?","Yes, that's fine. What time does it start?","[0.5, 0.6, 0.4, 0.4, 0.5]","[0.6, 0.5, 0.5, 0.6, 0.4]","[0.1631040722131729, 0.2584015130996704, 0.1772243082523346, 0.1888951063156128, 0.2123749703168869]","[0.15705592930316925, 0.26277896761894226, 0.1793994903564453, 0.18251708149909973, 0.21824853122234344]","[0.3368959277868271, 0.34159848690032957, 0.22277569174766543, 0.21110489368438723, 0.2876250296831131]","[0.4429440706968307, 0.23722103238105774, 0.3206005096435547, 0.41748291850090025, 0.18175146877765658]"
287,What date would you like to begin travel and are you returning on MArch 13th?,"I would like to leave on the 1st of this month and return on the 14th of this month,","Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'departure_date': '1st of this month', 'return_date': '14th of this month'}",What date would you like to begin travel and are you returning on March 13th?,I would like to leave on the 1st of this month and return on the 14th of this month.,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.8, 0.4, 0.8, 0.2]","[0.17553703486919403, 0.24855664372444153, 0.18868184089660645, 0.18116819858551025, 0.20605623722076416]","[0.16522851586341858, 0.24273058772087097, 0.17881008982658386, 0.18601983785629272, 0.22721093893051147]","[0.624462965130806, 0.35144335627555845, 0.21131815910339358, 0.4188318014144897, -0.006056237220764149]","[0.4347714841365814, 0.5572694122791291, 0.22118991017341616, 0.6139801621437073, -0.027210938930511464]"
288,,"Hi, I'd like to book a hotel reservation for next Wednesday at Doubletree by Hilton Hotel San Diego - Del Mar.","Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'next Wednesday', 'hotel_name': 'Doubletree by Hilton Hotel San Diego - Del Mar'}",The user expresses a straightforward request for booking a hotel reservation.,"Hi, I'd like to book a hotel reservation for next Wednesday at Doubletree by Hilton Hotel San Diego - Del Mar.","[0.5, 0.6, 0.4, 0.3, 0.5]","[0.6, 0.7, 0.4, 0.5, 0.4]","[0.15440747141838074, 0.24695761501789093, 0.20091372728347778, 0.1772281527519226, 0.22049304842948914]","[0.15007714927196503, 0.24627074599266052, 0.20455177128314972, 0.18658804893493652, 0.21251235902309418]","[0.34559252858161926, 0.35304238498210905, 0.19908627271652224, 0.12277184724807738, 0.27950695157051086]","[0.44992285072803495, 0.45372925400733943, 0.1954482287168503, 0.3134119510650635, 0.18748764097690584]"
289,check in march 3rd and check out march 4th,yes that is good,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}",Check-in on March 3rd and check-out on March 4th.,"Yes, that works for me.","[0.8, 0.9, 0.3, 0.7, 0.2]","[0.6, 0.4, 0.5, 0.8, 0.4]","[0.16172343492507935, 0.23904335498809814, 0.1881163865327835, 0.18140006065368652, 0.22971674799919128]","[0.1664290577173233, 0.24938532710075378, 0.1978602260351181, 0.18666289746761322, 0.19966252148151398]","[0.6382765650749207, 0.6609566450119019, 0.11188361346721648, 0.5185999393463134, -0.029716747999191273]","[0.4335709422826767, 0.15061467289924624, 0.3021397739648819, 0.6133371025323868, 0.20033747851848605]"
290,Absolutely! Where are you going?,I'm going to NYC.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'to_location': 'NYC'}",Absolutely! Where are you going?,I'm going to NYC.,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.5, 0.3, 0.6, 0.4, 0.4]","[0.16874960064888, 0.23448610305786133, 0.19402562081813812, 0.17765501141548157, 0.2250836193561554]","[0.16978968679904938, 0.24394471943378448, 0.18726614117622375, 0.18038251996040344, 0.21861687302589417]","[0.63125039935112, 0.36551389694213865, 0.2059743791818619, 0.4223449885845184, -0.025083619356155384]","[0.3302103132009506, 0.056055280566215504, 0.4127338588237762, 0.21961748003959658, 0.18138312697410586]"
291,Where are you looking and how many bedrooms?,Look for a 1 bedroom in San Leandro.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_beds': '1', 'area': 'San Leandro'}",Where are you looking and how many bedrooms?,I'm searching for a 1 bedroom apartment in San Leandro.,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.6, 0.4, 0.4, 0.6, 0.3]","[0.16296501457691193, 0.2528326213359833, 0.18869557976722717, 0.1728089451789856, 0.22269777953624725]","[0.15728351473808289, 0.24051955342292786, 0.19133664667606354, 0.18250001966953278, 0.2283603399991989]","[0.3370349854230881, 0.24716737866401672, 0.3113044202327728, 0.3271910548210144, 0.27730222046375275]","[0.4427164852619171, 0.15948044657707217, 0.20866335332393648, 0.4174999803304672, 0.07163966000080108]"
292,There's 1 flight that suits your preference. It's a Delta Airlines flight with an outbound flight that departs at 4:40 pm and a return flight that leaves at 7:40 pm. It is $63 per ticket.,And what airport is the arrival at?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: destination_airport
Slot values: {}",There's 1 flight that suits your preference. It's a Delta Airlines flight with an outbound flight that departs at 4:40 pm and a return flight that leaves at 7:40 pm. It is $63 per ticket.,And what airport is the arrival at?,"[0.2, 0.8, 0.4, 0.6, 0.3]","[0.7, 0.4, 0.3, 0.7, 0.2]","[0.148099884390831, 0.2543524205684662, 0.1924014687538147, 0.17272652685642242, 0.23241978883743286]","[0.17219126224517822, 0.22975316643714905, 0.19519896805286407, 0.18109522759914398, 0.22176137566566467]","[0.05190011560916902, 0.5456475794315339, 0.20759853124618532, 0.42727347314357755, 0.06758021116256713]","[0.5278087377548217, 0.17024683356285097, 0.10480103194713591, 0.518904772400856, -0.021761375665664662]"
293,"These three would be playing - Breakthrough, Dr. Strangelove and Fighting with My Family.",I've been wanting to see Dr. Strangelove - perfect. Bye for now.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'movie_name': 'Dr . Strangelove'}","These three would be playing - Breakthrough, Dr. Strangelove and Fighting with My Family.",I've been wanting to see Dr. Strangelove - perfect. Bye for now.,"[0.4, 0.6, 0.2, 0.3, 0.5]","[0.6, 0.2, 0.4, 0.6, 0.2]","[0.15515390038490295, 0.24738973379135132, 0.18341445922851562, 0.19201506674289703, 0.2220267653465271]","[0.15724344551563263, 0.24346932768821716, 0.18812642991542816, 0.18497714400291443, 0.22618360817432404]","[0.24484609961509707, 0.35261026620864866, 0.016585540771484386, 0.10798493325710296, 0.2779732346534729]","[0.44275655448436735, -0.04346932768821715, 0.21187357008457186, 0.41502285599708555, -0.026183608174324025]"
294,How many days will you stay there?,I will be staying for four days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': 'four'}",How many days will you stay there?,I will be staying for four days.,"[0.6, 0.8, 0.4, 0.5, 0.3]","[0.7, 0.6, 0.5, 0.6, 0.4]","[0.15647803246974945, 0.2390192449092865, 0.18628081679344177, 0.18608495593070984, 0.23213694989681244]","[0.16718295216560364, 0.23854832351207733, 0.17781703174114227, 0.18655116856098175, 0.2299005091190338]","[0.4435219675302505, 0.5609807550907135, 0.21371918320655825, 0.31391504406929016, 0.06786305010318755]","[0.5328170478343963, 0.36145167648792265, 0.3221829682588577, 0.4134488314390182, 0.1700994908809662]"
295,You'd like to reserve 1 room at Palihotel Melrose in Los Angeles on for a stay beginning on March 11th and leaving on March 14th. Is that correct?,"Yes, that's correct. Can you tell me the contact number and where it is located?","Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: phone_number, street_address
Slot values: {}",The system confirmed the reservation details and asked for additional information.,The user confirmed the reservation and asked for the contact number and location.,"[0.4, 0.8, 0.2, 0.6, 0.3]","[0.6, 0.4, 0.8, 0.4, 0.2]","[0.15859197080135345, 0.24558155238628387, 0.19571182131767273, 0.18066945672035217, 0.21944519877433777]","[0.16523583233356476, 0.23840735852718353, 0.18773837387561798, 0.18432921171188354, 0.2242891639471054]","[0.24140802919864657, 0.5544184476137162, 0.004288178682327282, 0.4193305432796478, 0.08055480122566222]","[0.4347641676664352, 0.1615926414728165, 0.6122616261243821, 0.21567078828811648, -0.024289163947105397]"
296,,Will you find round trip flights?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {}",Will you find round trip flights?,"Sure, I can help you with that! Do you have a specific destination in mind or are you open to suggestions?","[0.5, 0.6, 0.4, 0.7, 0.3]","[0.7, 0.7, 0.6, 0.8, 0.2]","[0.16231757402420044, 0.251542329788208, 0.1770612746477127, 0.18465818464756012, 0.22442057728767395]","[0.15912824869155884, 0.25296759605407715, 0.1941111981868744, 0.18682272732257843, 0.2069701850414276]","[0.33768242597579956, 0.34845767021179197, 0.22293872535228731, 0.5153418153524398, 0.07557942271232604]","[0.5408717513084411, 0.4470324039459228, 0.4058888018131256, 0.6131772726774216, -0.006970185041427601]"
297,"Dumbo, Hellboy or The Poseidon Adventure?",Any other movies?,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}","Dumbo, Hellboy or The Poseidon Adventure?",Any other movies?,"[0.4, 0.6, 0.2, 0.3, 0.5]","[0.7, 0.2, 0.6, 0.7, 0.1]","[0.16486814618110657, 0.22778744995594025, 0.18816374242305756, 0.1993434876203537, 0.21983720362186432]","[0.15354351699352264, 0.23159319162368774, 0.19679619371891022, 0.17132583260536194, 0.24674123525619507]","[0.23513185381889345, 0.37221255004405973, 0.011836257576942455, 0.10065651237964629, 0.2801627963781357]","[0.5464564830064773, -0.03159319162368773, 0.40320380628108976, 0.528674167394638, -0.14674123525619506]"
298,,I am interested in finding a salon.,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}",I see that you are interested in finding a salon. What type of salon are you looking for?,I am interested in finding a salon.,"[0.8, 0.7, 0.6, 0.65, 0.45]","[0.75, 0.6, 0.4, 0.55, 0.5]","[0.1632351577281952, 0.2563713490962982, 0.1823563277721405, 0.18209140002727509, 0.215945765376091]","[0.16240590810775757, 0.23650260269641876, 0.18905340135097504, 0.1890202760696411, 0.2230178713798523]","[0.6367648422718049, 0.44362865090370174, 0.4176436722278595, 0.46790859997272494, 0.234054234623909]","[0.5875940918922424, 0.3634973973035812, 0.21094659864902499, 0.36097972393035893, 0.2769821286201477]"
299,How about another one bus which leaves at 8:30 am for the flexible ticket cost $41?,From which station this bus will leave?,"Service name: Buses_2
Active intent: FindBus
Requested slots: origin_station_name
Slot values: {}",How about another one bus which leaves at 8:30 am for the flexible ticket cost $41?,From which station this bus will leave?,"[0.7, 0.8, 0.4, 0.6, 0.3]","[0.6, 0.5, 0.4, 0.7, 0.4]","[0.15871210396289825, 0.23939329385757446, 0.19392576813697815, 0.18053652346134186, 0.22743241488933563]","[0.161428302526474, 0.23824645578861237, 0.18734823167324066, 0.18586651980876923, 0.22711049020290375]","[0.5412878960371017, 0.5606067061424256, 0.20607423186302187, 0.4194634765386581, 0.07256758511066436]","[0.438571697473526, 0.26175354421138763, 0.21265176832675936, 0.5141334801912307, 0.17288950979709627]"
300,I have found one show of the movie at 1 pm in Edwards Fairfield 16 & IMAX.,Seems nice. Can you try to book a table at the restaurant I liked before? I need the reservation for one person.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '1', 'date': '[CLS]'}",I have found one show of the movie at 1 pm in Edwards Fairfield 16 & IMAX.,Seems nice. Can you try to book a table at the restaurant I liked before? I need the reservation for one person.,"[0.6, 0.8, 0.4, 0.5, 0.3]","[0.6, 0.6, 0.6, 0.8, 0.4]","[0.16756387054920197, 0.23714151978492737, 0.18721620738506317, 0.17691704630851746, 0.23116128146648407]","[0.16412648558616638, 0.23769935965538025, 0.193563774228096, 0.18147169053554535, 0.223138689994812]","[0.432436129450798, 0.5628584802150727, 0.21278379261493685, 0.32308295369148254, 0.06883871853351592]","[0.4358735144138336, 0.36230064034461973, 0.40643622577190397, 0.6185283094644547, 0.176861310005188]"
301,"Want want to cast the song Alone With You on TV, right?",That is right. What genre is it and what year was it released?,"Service name: Music_1
Active intent: PlaySong
Requested slots: genre, year
Slot values: {'playback_device': 'TV'}","Want to feature the song Alone With You on TV, right?",That's correct. Can you tell me the genre of the song and the year it was released?,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.8, 0.4, 0.8, 0.4]","[0.15166886150836945, 0.23835991322994232, 0.19115062057971954, 0.19756579399108887, 0.2212548702955246]","[0.15476496517658234, 0.2410234808921814, 0.19193091988563538, 0.18417149782180786, 0.22810909152030945]","[0.6483311384916306, 0.36164008677005766, 0.20884937942028048, 0.4024342060089111, -0.021254870295524586]","[0.44523503482341764, 0.5589765191078186, 0.20806908011436465, 0.6158285021781922, 0.17189090847969057]"
302,Would you like me to make a reservation?,Not right now but can you check a bus leaving from Long Beach and going there?,"Service name: Hotels_2
Active intent: 
Requested slots: 
Slot values: {}",Would you like me to explore new options for you?,"Not right now, but could you please look up a bus departing from Long Beach and heading there?","[0.8, 0.7, 0.6, 0.5, 0.4]","[0.7, 0.4, 0.5, 0.6, 0.3]","[0.158647820353508, 0.2547666132450104, 0.18968215584754944, 0.18793047964572906, 0.20897284150123596]","[0.14799922704696655, 0.24650028347969055, 0.19560258090496063, 0.18607091903686523, 0.22382698953151703]","[0.641352179646492, 0.4452333867549896, 0.41031784415245054, 0.31206952035427094, 0.19102715849876406]","[0.5520007729530334, 0.15349971652030947, 0.30439741909503937, 0.41392908096313474, 0.07617301046848296]"
303,"Very well, I need to get 4 seats for the Falcons Vs Rams on March 11th in Atlanta, correct?","You got it, go for it.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","Very well, I need to get 4 seats for the Falcons Vs Rams on March 11th in Atlanta, correct?","You got it, go for it.","[0.8, 0.9, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.8, 0.3]","[0.1566275805234909, 0.24517692625522614, 0.19676825404167175, 0.1869010627269745, 0.2145262062549591]","[0.16330207884311676, 0.23970858752727509, 0.1887454241514206, 0.19842462241649628, 0.2098192274570465]","[0.6433724194765091, 0.6548230737447739, 0.20323174595832827, 0.4130989372730255, -0.014526206254959095]","[0.4366979211568832, 0.16029141247272494, 0.4112545758485794, 0.6015753775835038, 0.09018077254295348]"
304,From o'hare international airport.,I am not sure if I want to go so I need to know if the ticket is refundable?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: refundable
Slot values: {}",From O'Hare International Airport.,"I'm a bit uncertain about going, so I was wondering if the ticket is refundable?","[0.6, 0.8, 0.4, 0.6, 0.2]","[0.8, 0.4, 0.2, 0.6, 0.4]","[0.15983037650585175, 0.23344232141971588, 0.19324171543121338, 0.18665310740470886, 0.22683244943618774]","[0.15587569773197174, 0.2547876834869385, 0.1885548084974289, 0.19205868244171143, 0.20872309803962708]","[0.44016962349414823, 0.5665576785802842, 0.20675828456878664, 0.4133468925952911, -0.026832449436187733]","[0.6441243022680283, 0.14521231651306155, 0.011445191502571117, 0.40794131755828855, 0.19127690196037295]"
305,"Confirming hairdresser appointment on March 14th, 1:30 pm, at 1047 Lincoln Highway suite 101.","Okay, thanks a lot.","Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}","Confirming hairdresser appointment on March 14th, 1:30 pm, at 1047 Lincoln Highway suite 101.","Okay, thanks a lot.","[0.8, 0.9, 0.4, 0.7, 0.2]","[0.6, 0.4, 0.3, 0.8, 0.1]","[0.15049228072166443, 0.24902699887752533, 0.19760000705718994, 0.19036641716957092, 0.21251432597637177]","[0.1716511994600296, 0.23643308877944946, 0.19840434193611145, 0.18318267166614532, 0.21032871305942535]","[0.6495077192783356, 0.6509730011224747, 0.20239999294281008, 0.509633582830429, -0.012514325976371754]","[0.4283488005399704, 0.16356691122055056, 0.10159565806388854, 0.6168173283338547, -0.11032871305942535]"
306,Appointment at 4:15 pm at the hair stylist Oz A Salon Inc.,That's okay now.,"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {}",Appointment at 4:15 pm at the hair stylist Oz A Salon Inc.,That's okay now.,"[0.5, 0.8, 0.2, 0.6, 0.4]","[0.4, 0.3, 0.4, 0.7, 0.2]","[0.15698698163032532, 0.2389061599969864, 0.19048534333705902, 0.17366550862789154, 0.23995599150657654]","[0.1590798795223236, 0.23083311319351196, 0.19639179110527039, 0.16678649187088013, 0.24690867960453033]","[0.3430130183696747, 0.5610938400030137, 0.00951465666294099, 0.42633449137210844, 0.16004400849342348]","[0.2409201204776764, 0.06916688680648803, 0.20360820889472964, 0.5332135081291198, -0.04690867960453032]"
307,"I searched and found 10 nice apartments. Americana Apartments is a nice property at 4445 Stevenson Boulevard with 2 bed rooms and 2 baths. The rent for the apartment is $2,800 per month.",Yes. it is good.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'property_name': 'Americana Apartments'}","I searched and found 10 nice apartments. Americana Apartments is a nice property at 4445 Stevenson Boulevard with 2 bed rooms and 2 baths. The rent for the apartment is $2,800 per month.","Yes, it is good.","[0.8, 0.6, 0.4, 0.7, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.4]","[0.15163813531398773, 0.24480627477169037, 0.20142096281051636, 0.18867765367031097, 0.21345695853233337]","[0.1676613986492157, 0.24964433908462524, 0.18641558289527893, 0.18002620339393616, 0.21625249087810516]","[0.6483618646860123, 0.3551937252283096, 0.19857903718948366, 0.511322346329689, 0.08654304146766661]","[0.4323386013507843, 0.15035566091537478, 0.31358441710472107, 0.5199737966060638, 0.18374750912189486]"
308,it is 4.8,what is the address?,"Service name: Services_1
Active intent: FindProvider
Requested slots: phone_number, street_address
Slot values: {}",it is 4.8,What is the address?,"[0.6, 0.8, 0.4, 0.4, 0.2]","[0.6, 0.2, 0.4, 0.6, 0.4]","[0.16697478294372559, 0.23204420506954193, 0.19885826110839844, 0.17066942155361176, 0.23145334422588348]","[0.17774786055088043, 0.220730721950531, 0.1910259872674942, 0.1761363446712494, 0.23435914516448975]","[0.4330252170562744, 0.5679557949304581, 0.20114173889160158, 0.22933057844638827, -0.03145334422588347]","[0.42225213944911955, -0.020730721950530995, 0.20897401273250582, 0.4238636553287506, 0.16564085483551028]"
309,2g Japanese Brasserie is a nice San Francisco restaurant.,Sounds great. What times are available for the movie tomorrow at AMC Metreon?,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'restaurant_name': '2g Japanese Brasserie'}",2g Japanese Brasserie is a nice San Francisco restaurant.,Sounds great. What times are available for the movie tomorrow at AMC Metreon?,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.8, 0.6, 0.4]","[0.16542822122573853, 0.2450285106897354, 0.18874771893024445, 0.17565353214740753, 0.2251419872045517]","[0.16474036872386932, 0.2502385377883911, 0.18265047669410706, 0.18191824853420258, 0.22045239806175232]","[0.43457177877426145, 0.5549714893102646, 0.21125228106975558, 0.42434646785259245, -0.025141987204551686]","[0.43525963127613065, 0.1497614622116089, 0.617349523305893, 0.4180817514657974, 0.1795476019382477]"
310,Your ticket has been confirmed. You will arrive at Intercity Terminal.,Appreciate your efforts in securing me a bus ticket.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Your ticket has been confirmed. You will arrive at Intercity Terminal.,I truly appreciate your efforts in securing me a bus ticket.,"[0.6, 0.8, 0.4, 0.6, 0.2]","[0.8, 0.6, 0.4, 0.8, 0.2]","[0.15927842259407043, 0.22904740273952484, 0.18688490986824036, 0.1883336454629898, 0.23645563423633575]","[0.15822340548038483, 0.22583380341529846, 0.1905440390110016, 0.18568438291549683, 0.23971445858478546]","[0.44072157740592954, 0.5709525972604752, 0.21311509013175967, 0.41166635453701017, -0.03645563423633574]","[0.6417765945196152, 0.3741661965847015, 0.20945596098899844, 0.6143156170845032, -0.03971445858478545]"
311,,I'm increasingly seeing double at times and itching a lot. Do you have the name of a doctor I can go see?,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}",I can help you with that. It sounds like you might be experiencing some vision issues and skin irritation. I recommend seeing an ophthalmologist for the double vision and a dermatologist for the itching. Would you like me to provide you with some doctor recommendations?,I'm increasingly seeing double at times and itching a lot. Do you have the name of a doctor I can go see?,"[0.8, 0.6, 0.7, 0.8, 0.4]","[0.7, 0.5, 0.6, 0.7, 0.5]","[0.15339592099189758, 0.2590964734554291, 0.19528160989284515, 0.18308895826339722, 0.20913715660572052]","[0.1607750952243805, 0.24331851303577423, 0.190872922539711, 0.1871882826089859, 0.21784527599811554]","[0.6466040790081025, 0.3409035265445709, 0.5047183901071548, 0.6169110417366028, 0.1908628433942795]","[0.5392249047756195, 0.25668148696422577, 0.409127077460289, 0.512811717391014, 0.28215472400188446]"
312,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}",The user is requesting help in finding a one-way flight.,"Hello, I need assistance in booking a single flight.","[0.4, 0.6, 0.2, 0.8, 0.3]","[0.6, 0.4, 0.6, 0.2, 0.7]","[0.162776917219162, 0.2351258099079132, 0.18523038923740387, 0.1864972859621048, 0.23036958277225494]","[0.15941157937049866, 0.23311230540275574, 0.19600962102413177, 0.19110123813152313, 0.22036530077457428]","[0.23722308278083803, 0.36487419009208677, 0.014769610762596141, 0.6135027140378952, 0.06963041722774505]","[0.4405884206295013, 0.16688769459724428, 0.4039903789758682, 0.008898761868476879, 0.4796346992254257]"
313,Which city would you like me to search in?,I want to do something in New York City.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'city': 'New York City'}",Which city are you interested in exploring today?,I want to explore the vibrant city of New York.,"[0.8, 0.6, 0.4, 0.2, 0.3]","[0.7, 0.4, 0.6, 0.8, 0.2]","[0.16715261340141296, 0.23320272564888, 0.1992994099855423, 0.18473656475543976, 0.21560870110988617]","[0.16774986684322357, 0.23409324884414673, 0.19299131631851196, 0.1878470480442047, 0.21731853485107422]","[0.6328473865985871, 0.36679727435112, 0.20070059001445772, 0.015263435244560253, 0.08439129889011382]","[0.5322501331567764, 0.1659067511558533, 0.407008683681488, 0.6121529519557953, -0.017318534851074208]"
314,"There are 8 available economy extra buses, would you like one which departs at 7:10 am which costs $38?","That is fine with me, could you also help me search for one room at a hotel in that area with wifi services?","Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'has_wifi': 'True', 'number_of_rooms': '1', 'destination': '[CLS]'}","There are 8 available economy extra buses, would you like one which departs at 7:10 am which costs $38?","That is fine with me, could you also help me search for one room at a hotel in that area with wifi services?","[0.6, 0.8, 0.4, 0.6, 0.3]","[0.6, 0.6, 0.6, 0.8, 0.4]","[0.15358148515224457, 0.24391640722751617, 0.19327232241630554, 0.18024258315563202, 0.22898714244365692]","[0.14922763407230377, 0.24663421511650085, 0.19265414774417877, 0.18676692247390747, 0.22471703588962555]","[0.4464185148477554, 0.5560835927724839, 0.20672767758369448, 0.41975741684436796, 0.07101285755634307]","[0.4507723659276962, 0.3533657848834991, 0.4073458522558212, 0.6132330775260926, 0.17528296411037447]"
315,Is there anything else I can help with?,"No, Thank you.","Service name: Services_1
Active intent: 
Requested slots: 
Slot values: {}",Is there anything else I can help with?,"No, Thank you.","[0.4, 0.6, 0.2, 0.6, 0.4]","[0.2, 0.2, 0.2, 0.6, 0.6]","[0.16455574333667755, 0.23366539180278778, 0.1920529454946518, 0.17751026153564453, 0.23221567273139954]","[0.15569230914115906, 0.25452855229377747, 0.20979394018650055, 0.1796407699584961, 0.2003444880247116]","[0.23544425666332247, 0.3663346081972122, 0.007947054505348217, 0.42248973846435545, 0.16778432726860049]","[0.044307690858840953, -0.054528552293777455, -0.009793940186500538, 0.4203592300415039, 0.39965551197528837]"
316,"Confirm, in Walnut Creek, China Palace Restaurant at 12:45 pm for 3 on March 14th.",That is good. What is price range and contact?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: phone_number, price_range
Slot values: {}","Confirm, in Walnut Creek, China Palace Restaurant at 12:45 pm for 3 on March 14th.",That is good. What is price range and contact?,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.5]","[0.15901939570903778, 0.2520545721054077, 0.19763192534446716, 0.17762863636016846, 0.2136654406785965]","[0.1595325469970703, 0.23162491619586945, 0.1931462436914444, 0.17906641960144043, 0.23662985861301422]","[0.6409806042909623, 0.44794542789459224, 0.20236807465553286, 0.4223713636398315, 0.08633455932140349]","[0.44046745300292967, 0.16837508380413058, 0.3068537563085556, 0.5209335803985595, 0.2633701413869858]"
317,Which day do you want me to check?,Please look on March 14th.,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': 'March 14th'}",Which day would you like me to check?,Please look on March 14th.,"[0.5, 0.75, 0.25, 0.6, 0.3]","[0.75, 0.4, 0.6, 0.8, 0.2]","[0.16870416700839996, 0.23628263175487518, 0.18968677520751953, 0.19237320125102997, 0.21295319497585297]","[0.16623102128505707, 0.23970229923725128, 0.1892046481370926, 0.17375022172927856, 0.23111185431480408]","[0.33129583299160004, 0.5137173682451248, 0.06031322479248047, 0.40762679874897, 0.08704680502414702]","[0.5837689787149429, 0.16029770076274874, 0.4107953518629074, 0.6262497782707215, -0.031111854314804066]"
318,i found 3 restaurant in livermore. what about campo di bocce of livermore,what else can you find,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {}",I found 3 restaurants in Livermore. What about Campo di Bocce of Livermore?,What else can you find?,"[0.8, 0.6, 0.4, 0.6, 0.2]","[0.6, 0.4, 0.6, 0.4, 0.4]","[0.1635720431804657, 0.24627768993377686, 0.17927999794483185, 0.18723906576633453, 0.22363126277923584]","[0.17414842545986176, 0.23916883766651154, 0.17979559302330017, 0.18167440593242645, 0.22521275281906128]","[0.6364279568195343, 0.3537223100662231, 0.22072000205516817, 0.41276093423366544, -0.02363126277923583]","[0.4258515745401382, 0.1608311623334885, 0.4202044069766998, 0.21832559406757357, 0.17478724718093874]"
319,The first result that I have found is a Gynecologist by the name of Kochenburger Richard J MD located in Alameda. Would you like me to contact them?,What else can you find?,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {}",The first result that I have found is a Gynecologist by the name of Kochenburger Richard J MD located in Alameda. Would you like me to contact them?,What else can you find?,"[0.6, 0.8, 0.4, 0.7, 0.3]","[0.7, 0.4, 0.6, 0.5, 0.2]","[0.1543644368648529, 0.24989120662212372, 0.19641460478305817, 0.180160790681839, 0.21916890144348145]","[0.17414842545986176, 0.23916883766651154, 0.17979559302330017, 0.18167440593242645, 0.22521275281906128]","[0.4456355631351471, 0.5501087933778763, 0.20358539521694186, 0.519839209318161, 0.08083109855651854]","[0.5258515745401382, 0.1608311623334885, 0.4202044069766998, 0.31832559406757355, -0.025212752819061268]"
